iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.5540095128745278e-05,0.013945704660556979,6.328029317036701e-15,0.8661378715554572,1.9224728634848658,0.9482932489926142,7.022658278111108,0.9482932489926142,7.0226582781111055,0.3403425843570995,10.0,2.4406367835646714,6.523145479372242,5.956719769295036,42.55149115600445,100.0,0.0,0.0,0.0,0.0,-0.00042238172030385947,0.003919399036982383,0.002422349156211566,0.004223207051566007,0.024332125839173907,4.581685729689474,1.8090315494666852e-06,8.677674686908169e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.3899957202169412e-05,0.013945688402317732,1.687690683191456e-14,0.8993126070976161,2.2821357807553984,0.9869118861321188,8.078877051145016,0.9869118861321188,8.078877051145016,0.34027787259824444,10.0,2.5077979908059764,8.009959721422351,6.289058979498176,64.16043786100174,100.0,0.0,0.0,0.0,0.0,-0.0003491408259272364,0.003711880640031446,0.0021942607016092333,0.004524767964310934,0.022226474715316392,4.581685647432583,3.1091370419736064e-06,1.5644920857657e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.5980817742054263e-05,0.013945676714632028,2.1771812596207883e-14,0.8759086860739302,2.033558309663496,0.998705923214467,22.947374630357174,0.998705923214467,22.947374630357174,0.3404078391138185,10.0,2.3259494371706757,6.489688463284231,5.410052458299915,42.1163236820986,100.0,0.0,0.0,0.0,0.0,-0.000643448779170224,0.00394547733622164,0.0022416372008013225,0.004178229861611149,0.020245835020430838,4.581685509136353,1.264997058171351e-06,9.489121137191788e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.5304572642642792e-05,0.013945665790832982,2.7750662368075862e-14,0.8669983681765223,1.9725394979477084,0.9607116047237497,11.300748559882727,0.9607116047237497,11.300748559882727,0.3403137841203321,10.0,2.3199330538065825,6.396164183707387,5.38209828981474,40.911617184039,100.0,0.0,0.0,0.0,0.0,-0.0004979162140941585,0.0038802902064645796,0.002306035305830927,0.004098023251908357,0.021740742970501447,4.5816854152224655,9.046782229466473e-07,9.416063650188758e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.6269517371862813e-05,0.013945650950843207,4.2543840200552945e-14,0.8907776856594637,2.0854566826170626,0.9831928365565726,7.943672289618941,0.9831928365565727,7.943672289618941,0.34036493354383857,10.0,2.3825870041181556,6.4371625294332055,5.676721498187853,41.43852967648542,100.0,0.0,0.0,0.0,0.0,-0.000496771522082563,0.004002840919485883,0.0022811366701183913,0.004534598418368633,0.025398116690143992,4.581685218208252,2.2798999402780985e-06,1.259062444098056e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.6214363729785346e-05,0.013945638162399902,5.2596396649147293e-14,0.9090782485062199,2.2930798373698815,0.9993753433264105,17.34378967341094,0.9993753433264105,17.34378967341094,0.3404057733318879,10.0,2.5279311870999206,7.917327694694484,6.3904423631583365,62.68521583576836,100.0,0.0,0.0,0.0,0.0,-0.0006117206619335804,0.003979970045307991,0.0020242858227556416,0.004438483559453616,0.025492878043752193,4.581685063235463,1.1410575275886684e-06,1.1341580352341508e-05,0.02283669369972368,0.0,0.0,0.9999981679945399,0.005580960248471212,0.2369387836395675,0.8607825087387828,0.37872321934127356,7.2300244065884245e-06,8.984339323196922e-06,0.5540975565197748
6,1.5915978523691148e-05,0.013945626795661671,5.879693875845606e-14,0.8740145734128668,1.9291174941522362,1.0932635423818293,35.66653583756711,1.093263542381829,35.66653583756711,0.3403672749889264,10.0,2.4508158643797286,6.00680317060252,6.006502745223726,36.0821626744582,100.0,0.0,0.0,0.0,0.0,-0.0004845424402862982,0.003959949134427429,0.0022884723862390275,0.0049831725408664065,0.02148070781642939,4.58168491316595,1.3214367560121707e-06,9.918959882770579e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.4298739400651879e-05,0.013945613447700563,4.574104470285566e-14,0.877760219404411,2.1001943144683137,0.9357213499815908,4.6019424576179615,0.9357213499815908,4.6019424576179615,0.34030039362095654,10.0,2.553821867809576,6.714253055410285,6.522006526563563,45.08184829962364,100.0,0.0,0.0,0.0,0.0,-0.00048590347218537596,0.0037500182954713804,0.0023489594939393905,0.004567057368981042,0.008307307525525944,4.58168464658615,1.7550268927134494e-06,1.1905296274384428e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.5720252718262382e-05,0.013945601011582109,5.869536157824385e-14,0.8931265218445807,2.2294750103379903,1.1524239882560594,92.39630676140106,1.1524239882560594,92.39630676140105,0.340303733990406,10.0,2.571198861082719,7.742881998495297,6.611070190075646,59.95224296998438,100.0,0.0,0.0,0.0,0.0,-0.0005216037553430723,0.003930417565688713,0.002222441033742701,0.004442579329211514,0.019358361672348334,4.581684567499877,1.53969446272778e-06,1.0992229448310472e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5284890435156003e-05,0.013945590173582038,6.563002344528673e-14,0.8612544438652321,1.8838841927078294,0.9251679791332311,5.99428347199825,0.925167979133231,5.99428347199825,0.3402982035184713,10.0,2.3136329191308027,6.201342778278019,5.352902277871779,38.45725977426218,100.0,0.0,0.0,0.0,0.0,-0.0005888694879686848,0.003864986825500897,0.0020874889033699858,0.0042850403306276515,0.021740503181852958,4.5816844241239085,1.403613202428952e-06,8.423383402485059e-06,0.020624158152564603,0.006154713416969822,1.0,0.9999980667198806,0.006785650752397676,0.2655597745772407,0.8607825087388299,0.3786777227253868,7.79222395460821e-06,7.492666480547794e-06,0.4902008628936123
10,1.6387810267501705e-05,0.013945577610604129,6.341202801755944e-14,0.872653152668711,1.9865160924084424,0.9178151310616093,4.395731156178141,0.9178151310616093,4.395731156178141,0.34029948575083696,10.0,2.3318764555415914,6.609774593124137,5.437648819379106,43.68928739434118,100.0,0.0,0.0,0.0,0.0,-0.0005118025006553776,0.00401570273648643,0.0023810740793852904,0.003928843720808133,0.021824228080239524,4.581684234453606,1.3890033290111235e-06,1.1035976626227735e-05,0.017992607730771874,0.005808136581118743,1.0,0.9999981133484441,0.006895605893240009,0.25455362666556525,0.8607825087388212,0.3780219819087236,7.921857353261754e-06,8.465952914239952e-06,0.5166006181453413
11,1.3608617369364052e-05,0.013945567248978101,6.42330696405656e-14,0.9081967084766734,2.401524767108794,1.1326598931292238,58.9100212134835,1.1326598931292238,58.91002121348342,0.3403549532840582,10.0,2.473084661761006,9.577594301860755,6.116170122110559,91.73211489966,100.0,0.0,0.0,0.0,0.0,-0.00034232898836496483,0.0036730679592255127,0.0022833605812659,0.003975585539792595,0.020853894946529162,4.581684119241839,1.3119689949670815e-06,9.173299047129543e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
12,1.6068894310142697e-05,0.013945554710973692,7.089740785342712e-14,0.8744432775851232,1.9922397137896655,0.9931016724661517,13.158110422399181,0.9931016724661517,13.158110422399181,0.3403525253545047,10.0,2.3719982775304778,6.088139446118372,5.626388448052803,37.06546911891817,100.0,0.0,0.0,0.0,0.0,-0.0005320549534727318,0.003973136272093851,0.002323959141067765,0.0044170442583480575,0.023587088019533457,4.581684040463624,1.2188443651291448e-06,1.1221602996447272e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
