iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.6214363729785346e-05,7.2300244065884245e-06,8.984339323196922e-06,0.5540975565197748,8,200,200
9,1.5284890435156003e-05,7.79222395460821e-06,7.492666480547794e-06,0.4902008628936123,8,200,200
10,1.6387810267501705e-05,7.921857353261754e-06,8.465952914239952e-06,0.5166006181453413,8,200,200
15,1.4361705853219051e-05,7.360707801782543e-06,7.0009980514365085e-06,0.4874767749032609,8,200,200
19,1.5585380694619723e-05,8.317900020345659e-06,7.267480674274064e-06,0.4663011328804367,8,200,200
20,1.4941048056421125e-05,8.112792045535144e-06,6.828256010885981e-06,0.45701318843904276,8,200,200
25,1.3944330992701958e-05,7.5695931272193575e-06,6.374737865482601e-06,0.4571562356644393,8,200,200
29,1.5361471139796113e-05,7.183362937211789e-06,8.178108202584324e-06,0.5323779297021723,8,200,200
30,1.537881359709135e-05,8.289248071054595e-06,7.089565526036756e-06,0.4609956080992899,8,200,200
35,1.6245638970840748e-05,8.569460258130655e-06,7.676178712710092e-06,0.47250703567203756,8,200,200
39,1.4260894996806464e-05,7.396945256902376e-06,6.863949739904089e-06,0.4813126905037291,8,200,200
40,1.705438341690426e-05,8.240283846200022e-06,8.814099570704238e-06,0.516823115514556,8,200,200
45,1.363732935896117e-05,7.345949535863459e-06,6.291379823097712e-06,0.4613351820944039,8,200,200
49,1.4510490024500174e-05,6.959466888597967e-06,7.551023135902207e-06,0.5203837446669765,8,200,200
50,1.5620881855152378e-05,7.020184614613304e-06,8.600697240539074e-06,0.5505897375251082,8,200,200
55,1.4954998923983566e-05,7.755754849279437e-06,7.199244074704129e-06,0.48139382097571326,8,200,200
59,1.5679926956901198e-05,7.875581416230753e-06,7.804345540670445e-06,0.49772843726389443,8,200,200
60,1.712676239801621e-05,8.488332540807683e-06,8.638429857208528e-06,0.5043819524353952,8,200,200
65,1.606373033082413e-05,7.140579779872016e-06,8.923150550952112e-06,0.5554843344095357,8,200,200
69,1.6240457073129068e-05,7.521415450580053e-06,8.719041622549014e-06,0.5368716892195884,8,200,200
70,1.4610271402873227e-05,7.169564930288618e-06,7.440706472584609e-06,0.5092791411883926,8,200,200
75,1.444652601204156e-05,6.078450124116939e-06,8.368075887924622e-06,0.5792448565800256,8,200,200
79,1.5326738665885174e-05,7.129658442497579e-06,8.197080223387594e-06,0.5348222085650198,8,200,200
80,1.5814564050001487e-05,7.904664825114037e-06,7.90989922488745e-06,0.5001654930150734,8,200,200
85,1.8573059287577977e-05,1.0195113330114754e-05,8.377945957463222e-06,0.45108055855216894,8,200,200
89,1.6641480891639598e-05,8.019924225795165e-06,8.621556665844433e-06,0.5180762891225479,8,200,200
90,1.4946979818384979e-05,6.956800852205657e-06,7.990178966179322e-06,0.5345681243478565,8,200,200
95,1.5913703944508463e-05,8.207983807817484e-06,7.70572013669098e-06,0.4842191461875277,8,200,200
99,1.7659525760496054e-05,8.980234828649588e-06,8.679290931846466e-06,0.49147927580602624,8,200,200
100,1.5209093662352398e-05,7.909101741261353e-06,7.299991921091045e-06,0.479975472776591,8,200,200
105,1.5613146674328266e-05,8.269730064801305e-06,7.343416609526961e-06,0.47033546553439404,8,200,200
109,1.6786634944875074e-05,7.986360159210157e-06,8.800274785664917e-06,0.5242429357976611,8,200,200
110,1.4136491038396755e-05,7.099884567496328e-06,7.036606470900427e-06,0.4977618881367367,8,200,200
115,1.5229718463329106e-05,7.78549981553999e-06,7.444218647789116e-06,0.48879555230871047,8,200,200
119,1.809837982751082e-05,9.557986547720361e-06,8.540393279790457e-06,0.4718871722875688,8,200,200
120,1.4918834730748868e-05,6.721533818003645e-06,8.197300912745221e-06,0.5494598647071244,8,200,200
