iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.734058675492508e-05,0.013945700512347618,1.98671324118988e-15,1.0167883087800882,3.1161512090041588,1.0167883087800882,3.1161512090041597,1.0167883087800882,3.1161512090041588,7.088844913147904e-16,5.437464121047119,4.5371340632308375,5.2486150668899025,20.58558604740517,27.547960551486565,29.56601606767472,0.0,0.0,0.0,0.0,-0.0005934541798476426,0.0041216985444530565,0.002464450246492892,0.0042003825011265135,0.024475903778543952,4.581685654343395,1.013630086793958e-06,1.1978293908038314e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.6955100742477643e-05,0.0139456901447649,3.779434692018551e-15,0.9737596106867037,2.810297088595081,0.9737596106867037,2.810297088595081,0.9737596106867037,2.810297088595081,5.717371301694407e-17,5.4444342237223475,4.137656170553126,5.1785183689843635,17.12020213271328,26.817055440135807,29.64186401643916,0.0,0.0,0.0,0.0,-0.0007170321341440886,0.004054746066165231,0.0022886390734514314,0.004718800841012627,0.021338042951810913,4.581685497134964,1.0205704121908368e-06,8.501078286005952e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.6435290691675705e-05,0.013945675782220283,5.530353313596763e-15,0.9948167870723736,2.9760776681058383,0.9948167870723736,2.9760776681058383,0.9948167870723736,2.9760776681058383,2.7897013626737317e-19,5.4304459598434685,4.349613074246514,5.219102436817813,18.919152379469242,27.239030835259655,29.48974332278025,0.0,0.0,0.0,0.0,-0.0007001082930033092,0.003993136495255791,0.002396221496393325,0.00404884650941426,0.023918327903344257,4.581685304737212,1.0447143146685895e-06,1.233689367279245e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.6748834846302433e-05,0.01394565954338673,6.1976589717650305e-15,1.026540717494797,3.1240503579242773,1.026540717494797,3.124050357924276,1.026540717494797,3.1240503579242773,6.465856583337896e-18,5.4405649213305,4.43608500334844,5.209925715781952,19.67885442958595,27.14332598071598,29.59974666321195,0.0,0.0,0.0,0.0,-0.0006923140063335174,0.004033551309074532,0.002426163668940027,0.0037926045469346276,0.022525174186911048,4.58168507806896,1.0879143014380536e-06,1.479611600206011e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.5891747119951542e-05,0.013945644743885918,7.705133299715827e-15,0.9936716305006805,3.0011457746918437,0.9936716305006805,3.0011457746918437,0.9936716305006805,3.0011457746918437,5.6177362175284e-16,5.435059328334135,4.324980019347694,5.213765724480193,18.70545216797468,27.183353215653398,29.539869902511896,0.0,0.0,0.0,0.0,-0.0006025338290459234,0.0039406471682715775,0.0025971196825829565,0.004440844756118407,0.024973561038330937,4.581684875685069,1.309919513852369e-06,1.2547225857419122e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.7553149508120937e-05,0.013945629887253926,1.5430699989754786e-14,0.9619625104513015,2.7543380246245124,0.9619625104513015,2.7543380246245124,0.9619625104513015,2.7543380246245124,7.477470090750015e-19,5.430668055528872,4.118162493554791,5.110333520614768,16.959262912241577,26.115508699015592,29.49215552934174,0.0,0.0,0.0,0.0,-0.0007375142742672201,0.004124223830416219,0.0022719745393389884,0.004674456901635453,0.025264680843711366,4.58168472328103,1.3991478082557498e-06,1.3056305274893948e-05,0.02674521423593823,0.0,0.0,0.9999978886609364,0.005639030761784403,0.24398526885534613,0.8782691901621633,0.5474716747816478,7.716484469432225e-06,9.836665038688712e-06,0.5603931667156253
6,1.509625263265524e-05,0.01394561444081734,1.578262519447218e-14,0.970843900771555,2.8948230572125913,0.970843900771555,2.8948230572125913,0.970843900771555,2.8948230572125913,2.7504397938075465e-19,5.434807270022379,4.355462939911611,5.217136050976808,18.97005788954349,27.218508814913783,29.537130062288103,0.0,0.0,0.0,0.0,-0.0007094490340750924,0.0038200699863621818,0.002100064397316147,0.004306357833116988,0.025738715523786305,4.58168452766556,1.075426830511724e-06,1.3171775327284544e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.594872615977509e-05,0.013945600680967212,1.4369383033347296e-14,1.0079407797491073,3.0317396711699844,1.0079407797491073,3.031739671169985,1.0079407797491073,3.0317396711699844,3.0413111883842925e-15,5.442007348366141,4.4078537159141815,5.165715492380051,19.42917635493621,26.684616838344457,29.615443979671074,0.0,0.0,0.0,0.0,-0.0007456235400330661,0.003923362294808325,0.0023497366968026666,0.004229902533368571,0.008020813479289802,4.581684272453007,1.2710507157159036e-06,1.1772852937177117e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.7322918013292348e-05,0.013945587174306577,1.7209196688799948e-14,0.9933193175796124,2.942668176842692,0.9933193175796124,2.942668176842692,0.9933193175796124,2.942668176842692,2.823231351686492e-21,5.441647392719112,4.3363212608759945,5.197041758979397,18.8036867751494,27.00924307280985,29.61152634668671,0.0,0.0,0.0,0.0,-0.0007876338090664622,0.004086875456397932,0.002295934150580414,0.004142146183658106,0.017417520095470315,4.581684138352662,1.1028730431445758e-06,1.1955832937318942e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5831809260858915e-05,0.013945574127289721,2.0780524615205497e-14,0.9862158979789862,3.041981386278077,0.9862158979789862,3.041981386278077,0.9862158979789862,3.041981386278077,1.8562033002106538e-16,5.442243220132677,4.404214719195693,5.263782457037067,19.39710740004402,27.70741793603489,29.61801126708009,0.0,0.0,0.0,0.0,-0.0008063058435444563,0.003896367558062891,0.002083690709483333,0.004366059403309918,0.022500174818840833,4.581683978781584,1.347357061869738e-06,9.750013017154327e-06,0.020648589055152516,0.00948768669575079,1.0,0.9999976649205815,0.009230225113032842,0.324885342035534,0.8782691901621638,0.5143517010935388,7.746015614977314e-06,8.085793645881601e-06,0.5107308654780324
