iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.02674521423593823,0.0,0.0,False,2000,4096,1e-07,0.9989587263464619,3.0154069020675305,7.770454485680402e-20,5.443515987179991,4.392656383743432,5.1976354439020485,10.0,1.0
9,0.020648589055152516,0.00948768669575079,1.0,False,2000,4096,1e-07,0.9560278530733266,2.8091883723684234,3.344106410660911e-17,5.443442819085746,4.213498770751585,5.214318791870036,10.0,1.0
10,0.020545513690782977,0.006701603114036603,1.0,False,2000,4096,1e-07,1.0036860823582503,2.9716638511712166,2.0098978900482076e-16,5.437271457491071,4.313302231710874,5.136699361613091,10.0,1.0
15,0.020068078399626797,0.006382558336980262,1.0,False,2000,4096,1e-07,1.0068322531858198,3.044041734508695,4.609009597263319e-17,5.4397580462178725,4.385225921431303,5.259566866854731,10.0,1.0
19,0.020744904445584085,0.006457557329362967,1.0,False,2000,4096,1e-07,0.9906681207959721,2.9568929610677435,8.356934570467363e-19,5.443888895362054,4.329473161160219,5.182610500857354,10.0,1.0
20,0.018238398304662264,0.007398121474245444,1.0,False,2000,4096,1e-07,0.980151646965834,2.9367169084810234,2.501433513030917e-22,5.440655060739716,4.274257217317503,5.160221629086516,10.0,1.0
25,0.02810076077738344,0.012439685484359787,1.0,False,2000,4096,1e-07,0.9744739066290752,2.901005062824326,1.8710464643848853e-21,5.438616922227776,4.307939902815916,5.195972680215722,10.0,1.0
29,0.021422891798433073,0.009243009879102513,1.0,False,2000,4096,1e-07,1.0240509287052293,3.067034017184113,4.0597680287909956e-16,5.437275914625465,4.372150991528232,5.24647285812392,10.0,1.0
30,0.022528618297523093,0.00648024085616222,1.0,False,2000,4096,1e-07,0.9864017768437333,2.9650907224034935,4.5059057903092366e-21,5.442659032573811,4.2732329577327635,5.259979663805418,10.0,1.0
35,0.015486637770800386,0.009175522810127231,1.0,False,2000,4096,1e-07,1.0145898006449177,3.0957482630369273,2.7553459283697576e-16,5.432211937950187,4.416538221173363,5.245298671871096,10.0,1.0
39,0.02412687973673405,0.010760171942289955,1.0,False,2000,4096,1e-07,0.9961006841106359,3.027662622232291,6.162364938287243e-15,5.442248329972608,4.380004168536311,5.1716173531878376,10.0,1.0
