iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.7553149508120937e-05,7.716484469432225e-06,9.836665038688712e-06,0.5603931667156253,8,200,200
9,1.5831809260858915e-05,7.746015614977314e-06,8.085793645881601e-06,0.5107308654780324,8,200,200
10,1.8255322944497303e-05,9.792614590000081e-06,8.462708354497222e-06,0.4635748367874332,8,200,200
15,1.4843022530085565e-05,8.528450578046262e-06,6.314571952039303e-06,0.42542359140398756,8,200,200
19,1.6007818396227083e-05,8.54424723649029e-06,7.463571159736793e-06,0.4662453667950093,8,200,200
20,1.6041920328578918e-05,8.207200963943757e-06,7.834719364635161e-06,0.4883903674971813,8,200,200
25,1.5531723509395333e-05,7.904516331309015e-06,7.627207178086319e-06,0.49107281451878315,8,200,200
29,1.4279969463603737e-05,6.2667957189990675e-06,8.013173744604669e-06,0.5611478207308743,8,200,200
30,1.7193229898117358e-05,7.879704289352024e-06,9.313525608765334e-06,0.5416972647928796,8,200,200
35,1.5635509684638755e-05,8.073593586635938e-06,7.5619160980028165e-06,0.4836373262223801,8,200,200
39,1.6949914329527092e-05,7.671311934446577e-06,9.278602395080515e-06,0.5474129375932598,8,200,200
40,1.803778408150668e-05,8.111725872840878e-06,9.9260582086658e-06,0.5502925505601621,8,200,200
45,1.542912118975882e-05,7.408200766384234e-06,8.020920423374587e-06,0.5198559480301784,8,200,200
49,1.5903540101689376e-05,8.217972022528615e-06,7.68556807916076e-06,0.48326146442981904,8,200,200
50,1.6279416365739142e-05,7.751233213331328e-06,8.528183152407815e-06,0.523862954347418,8,200,200
55,1.7795878354484457e-05,9.302301832670177e-06,8.49357652181428e-06,0.47727773547485214,8,200,200
59,1.595350967925195e-05,8.520686923476002e-06,7.432822755775948e-06,0.4659051773066946,8,200,200
60,1.7584338217382957e-05,8.792385831970253e-06,8.791952385412703e-06,0.49998767520983184,8,200,200
65,1.6573591008753783e-05,7.64954342249894e-06,8.924047586254843e-06,0.5384498496156548,8,200,200
69,1.7585047981540387e-05,9.47153967908145e-06,8.113508302458938e-06,0.4613867594206145,8,200,200
70,1.4631039263781646e-05,7.607382057647449e-06,7.023657206134197e-06,0.48005183223866293,8,200,200
75,1.4450619093545433e-05,7.877078139445161e-06,6.573540954100272e-06,0.454896839474264,8,200,200
79,1.7078668414277237e-05,8.089840147056593e-06,8.988828267220644e-06,0.5263190343168829,8,200,200
80,1.5597198898201403e-05,7.651561965003401e-06,7.945636933198001e-06,0.5094271724722479,8,200,200
85,1.762499747209792e-05,9.349546447149989e-06,8.27545102494793e-06,0.4695292035104557,8,200,200
89,2.0656579885577446e-05,8.853658426443626e-06,1.180292145913382e-05,0.5713879802229358,8,200,200
90,1.4671483105718731e-05,7.020552839654533e-06,7.6509302660642e-06,0.5214830846297999,8,200,200
95,1.7773938613633615e-05,8.783268793623114e-06,8.990669820010501e-06,0.5058344138262157,8,200,200
99,1.6032884617067236e-05,8.199324868312914e-06,7.833559748754322e-06,0.4885932841065534,8,200,200
100,1.807990512940405e-05,1.008946272247456e-05,7.990442406929489e-06,0.441951567208963,8,200,200
105,1.618297952835276e-05,8.98163235519096e-06,7.2013471731617984e-06,0.44499513581815753,8,200,200
109,1.8784970025269688e-05,8.663168745808796e-06,1.0121801279460892e-05,0.5388244573105502,8,200,200
110,1.4661042662174858e-05,8.015062795438397e-06,6.645979866736461e-06,0.4533088143780477,8,200,200
115,1.6176113264692343e-05,7.681558690264233e-06,8.49455457442811e-06,0.5251295187805839,8,200,200
119,2.0321163090465216e-05,1.1560909450072892e-05,8.760253640392324e-06,0.4310901694648903,8,200,200
120,1.5427144287267514e-05,7.055825954135383e-06,8.37131833313213e-06,0.5426356412600115,8,200,200
125,1.77330348656599e-05,9.491143071965705e-06,8.241891793694195e-06,0.4647761568243829,8,200,200
129,1.582669293141745e-05,6.532804438018257e-06,9.293888493399192e-06,0.5872287112457943,8,200,200
130,1.62047624751156e-05,8.96368592317195e-06,7.24107655194365e-06,0.4468486695231239,8,200,200
135,1.4417414223961436e-05,7.5664273985380435e-06,6.850986825423392e-06,0.47518831872342254,8,200,200
139,1.5689173786641604e-05,7.559274815466955e-06,8.129898971174648e-06,0.5181852837972113,8,200,200
140,1.5004654263880853e-05,7.585064854016846e-06,7.419589409864007e-06,0.49448586281154205,8,200,200
145,1.649329752195811e-05,8.883506650764624e-06,7.609790871193485e-06,0.46138686706295706,8,200,200
149,1.6652728669654576e-05,7.320390726405107e-06,9.33233794324947e-06,0.5604089352788961,8,200,200
150,1.672683195161969e-05,9.188674194474378e-06,7.53815775714531e-06,0.4506626107650575,8,200,200
155,1.5296869577305952e-05,7.946423499329999e-06,7.350446077975953e-06,0.4805196279427582,8,200,200
159,1.7875002627637387e-05,8.567045479517855e-06,9.307957148119532e-06,0.5207247988723682,8,200,200
160,1.7179277205073606e-05,9.131812883385735e-06,8.04746432168787e-06,0.46844021582649525,8,200,200
165,1.702792865652013e-05,8.645241943935848e-06,8.382686712584282e-06,0.4922904530360764,8,200,200
169,1.4768749690658353e-05,7.549358446315248e-06,7.219391244343105e-06,0.48882887147241527,8,200,200
170,1.6361816193375935e-05,8.117345639949071e-06,8.244470553426864e-06,0.5038848044732729,8,200,200
175,1.6926068103655223e-05,8.0805913562658e-06,8.845476747389422e-06,0.5225948928729184,8,200,200
179,1.3922089021400653e-05,6.834810424316631e-06,7.087278597084022e-06,0.5090671799461742,8,200,200
180,1.709379708270528e-05,8.263494660270316e-06,8.830302422434965e-06,0.5165793404303985,8,200,200
185,1.7152341111128213e-05,8.758914778342124e-06,8.393426332786088e-06,0.4893458145687497,8,200,200
189,1.457173890064653e-05,7.550962107565109e-06,7.020776793081421e-06,0.48180775410201165,8,200,200
190,1.5916421857824465e-05,7.700083164596187e-06,8.216338693228278e-06,0.5162177006001604,8,200,200
195,1.6306394893908842e-05,8.293368989038317e-06,8.013025904870525e-06,0.49140389135698803,8,200,200
199,1.6163422770641704e-05,7.75079952022298e-06,8.412623250418724e-06,0.5204728831135272,8,200,200
