iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.5540095128745278e-05,0.01394559138971081,6.328029317036701e-15,0.8661378715554572,1.9224728634848658,0.9482932489926142,7.022658278111108,0.9482932489926142,7.0226582781111055,0.3403425843570995,10.0,2.4406367835646714,6.523145479372242,5.956719769295036,42.55149115600445,100.0,0.0,0.0,0.0,0.0,-0.00042238172030385947,0.003919399036982383,0.002422349156211566,0.004223207051566007,0.024332125839173907,4.581684511163068,1.8090315494666852e-06,0.00010413209624290693,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.389800912276727e-05,0.013945396339228436,1.6874751766210577e-14,0.8993126070976161,2.2821357807553984,0.9869118861321188,8.078877051145016,0.9869118861321188,8.078877051145016,0.34027787259824444,10.0,2.5077979908059764,8.009959721422351,6.289058979498176,64.16043786100174,100.0,0.0,0.0,0.0,0.0,-0.0003491408661350154,0.003711618215598388,0.0021942619927127686,0.004524777672035939,0.022226342454705478,4.581683531170746,3.108872052079509e-06,0.0001877215593282136,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.597443719869047e-05,0.013945256147400827,2.1768672853515545e-14,0.8759086860739891,2.0335583096626264,0.9987059232114587,22.94737462868854,0.9987059232114587,22.947374628688507,0.34040783911379385,10.0,2.325949437176625,6.489688463244315,5.410052458327541,42.11632368158004,100.0,0.0,0.0,0.0,0.0,-0.0006434488390615789,0.00394466865404444,0.002241638763671912,0.004178079991754866,0.02024562486436338,4.581681879296417,1.2648167358037944e-06,0.00011384368600668921,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.529567314834184e-05,0.013945125144198453,2.774572327059915e-14,0.8669983681768824,1.9725394979489494,0.9607116047226885,11.30074855937075,0.9607116047226882,11.30074855937075,0.3403137841203176,10.0,2.3199330537866665,6.396164183820596,5.382098289722379,40.91161718548705,100.0,0.0,0.0,0.0,0.0,-0.000497915813173474,0.003879143332146112,0.002301459362122511,0.00409803349572504,0.021740154454214542,4.581680762035793,9.043929960276113e-07,0.00011295395538895969,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.6258586310745762e-05,0.013944947206675511,4.253164980698545e-14,0.8907776856597077,2.0854566826320315,0.9831928365537359,7.943672289232693,0.9831928365537358,7.943672289232689,0.3403649335437455,10.0,2.382587004169957,6.437162529670323,5.676721498434656,41.4385296795357,100.0,0.0,0.0,0.0,0.0,-0.0004967711861927433,0.004001475315344881,0.0022717510340036517,0.004534448525187953,0.025397325010699724,4.581678415255828,2.2789513920962216e-06,0.0001510221336833342,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.619889168341691e-05,0.01394479390771258,5.258259447495842e-14,0.9090782485078903,2.2930798373812316,0.9993753433383625,17.343789677179338,0.9993753433383625,17.343789677179338,0.3404057733316567,10.0,2.5279311870711396,7.917327694026825,6.3904423630128955,62.685215825201425,100.0,0.0,0.0,0.0,0.0,-0.0006117194361525972,0.0039780260198809736,0.00202453240725741,0.004438250026989341,0.025491919029744185,4.5816765747165995,1.1407587445495753e-06,0.00013602217107812635,0.2442234099232432,0.0,0.0,0.9999785732262312,0.00558096024853838,0.2369387836418456,0.8607825087387828,0.37872321934124187,7.223314658041441e-06,8.975577025375469e-06,0.5540858720948129
6,1.5898744213633423e-05,0.013944657672017642,5.87731563310747e-14,0.8740145734143248,1.9291174941598712,1.09326354238501,35.666535838704846,1.09326354238501,35.6665358387048,0.34036727498927405,10.0,2.4508158642846816,6.006803171330944,6.0065027447579284,36.08216268320534,100.0,0.0,0.0,0.0,0.0,-0.00048454642402129543,0.0039577719712739386,0.0022884450713273243,0.004984033683953518,0.021479602511428452,4.5816747931004524,1.3204985442983658e-06,0.00011894738955577171,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.4279659787154102e-05,0.013944497730456615,4.572431249892438e-14,0.8777602194026349,2.1001943144549866,0.9357213499929558,4.601942458519498,0.9357213499929558,4.601942458519498,0.3403003936206371,10.0,2.553821867883278,6.7142530548190384,6.522006526940078,45.08184829168525,100.0,0.0,0.0,0.0,0.0,-0.00048590164970255354,0.0037474737322588983,0.0023489468829776465,0.004549152568288452,0.008307176857159732,4.58167162206372,1.753815068771835e-06,0.0001427505011034253,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.5698080958776156e-05,0.01394434873943053,5.866768646555376e-14,0.8931265218481451,2.2294750103910137,1.152423988236279,92.3963067264446,1.152423988236279,92.3963067264446,0.34030373399064145,10.0,2.571198861107846,7.742881996727134,6.61107019020471,59.95224294260476,100.0,0.0,0.0,0.0,0.0,-0.0005216085149630879,0.003927595385970168,0.0022224235943217006,0.004442563404132666,0.019336829435920785,4.581670700689276,1.5385157864010964e-06,0.00013179027860331193,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5259798315722634e-05,0.013944218885732175,6.560651740710783e-14,0.861254443860443,1.8838841926584877,0.9251679791218017,5.994283471304098,0.9251679791218017,5.994283471304098,0.34029820351865414,10.0,2.313632918788625,6.201342777710563,5.352902276288542,38.45725976722993,100.0,0.0,0.0,0.0,0.0,-0.0005888672153593054,0.003861739726910348,0.0020873686528032243,0.00428580102379333,0.021739473412152675,4.581669003829106,1.4030196802807662e-06,0.00010098764120544201,0.22256815706045713,0.0676029761638177,1.0,0.9999774305450797,0.006785650752809902,0.2655597745883771,0.8607825087388299,0.37867772272563194,7.779552033097084e-06,7.480246282625551e-06,0.4901929978273976
