iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.00558096024853838,2.3714882346064736,0.2369387836418456,4096,0.8607825087387828,0.37872321934124187,64,0.8784036795719163,1.9962941255677042,0.34029912701959386,10.0,2.4381438916905553,6.566662407891114,10.0,1.0
9,0.006785650752809902,2.3542849516481734,0.2655597745883771,4096,0.8607825087388299,0.37867772272563194,64,0.8636126827168397,2.0019760917091363,0.34028306187133356,10.0,2.2435213279823056,7.19686387516104,10.0,1.0
10,0.006895605893720402,2.3613701327886694,0.25455362667768816,4096,0.8607825087388212,0.37802198190885605,64,0.8393158447908564,1.7257876784404096,0.34032976574365137,10.0,2.1640225381485148,5.302471114991714,10.0,1.0
15,0.008873245029214494,2.375839277899749,0.3263521440995139,4096,0.8607825087388739,0.37810742104254036,64,0.8856944871537122,2.082931961386197,0.3404566997658661,10.0,2.552814736522414,6.777715213341528,10.0,1.0
19,0.008813895850357967,2.3703509794234177,0.3166086675593351,4096,0.8607825087389522,0.37852234998703677,64,0.8771888583960792,2.093473604797514,0.34029571686243804,10.0,2.3167876318133147,7.304398197758063,10.0,1.0
20,0.010101034621327831,2.3601964171738548,0.3395312959222723,4096,0.8607825087389557,0.3785815077677934,64,0.8872218960326248,1.9895827464975127,0.3402863111676575,10.0,2.5226513815902205,6.483030833277964,10.0,1.0
25,0.006514621998593095,2.370205281144694,0.2510262439219286,4096,0.8607825087390254,0.37822267446957325,64,0.8806719202644118,2.024690062354006,0.3402876028891726,10.0,2.3967987254455965,7.159917060329223,10.0,1.0
29,0.010610973470651985,2.3568579841054724,0.3078271006271532,4096,0.8607825087391519,0.3779134107123109,64,0.8578349458641312,1.7958952333404197,0.34029425623496173,10.0,2.3435804025778055,5.9962251967989735,10.0,1.0
30,0.0059640866028388695,2.354411097556906,0.21296828028102865,4096,0.8607825087391463,0.37842930974079614,64,0.8558704518338762,1.8649995493502383,0.34030134997996336,10.0,2.283099164955914,6.392249303178323,10.0,1.0
35,0.005302634003872653,2.354536580369767,0.20264344590839564,4096,0.8607825087392408,0.3784352754702308,64,0.8910507415728898,2.071267148465505,0.3403761911799691,10.0,2.5276621463268354,6.728242141497001,10.0,1.0
39,0.0059189937360115685,2.361045429607949,0.2213026061944944,4096,0.8607825087393116,0.37859506159920037,64,0.8709978684442945,2.01143293038431,0.3403131667422574,10.0,2.431071614572689,6.376824980117566,10.0,1.0
40,0.00919965804688716,2.3574587577444728,0.32460837142222737,4096,0.8607825087393852,0.3779475612285384,64,0.8985206151634377,2.1583545308781265,0.34034555415693973,10.0,2.470050902828015,7.372294622498093,10.0,1.0
45,0.012207461937623343,2.3565778370697723,0.3668763031506144,4096,0.8607825087395274,0.378531026357736,64,0.8907304481267833,2.1552731159769216,0.3403688392246356,10.0,2.4277638220281226,7.012914215021026,10.0,1.0
49,0.01196779273731785,2.3629666424158464,0.3926779376188473,4096,0.8607825087396794,0.3778332994330613,64,0.8855304904536769,2.083807599311401,0.3403770534659039,10.0,2.3612783319130206,6.756293584423469,10.0,1.0
50,0.005749201790698044,2.3586954614195808,0.22530254628950022,4096,0.8607825087396418,0.37829703753481925,64,0.8564409099131238,1.8911420280775904,0.3403205456582861,10.0,2.2689732263224367,6.417204342284455,10.0,1.0
55,0.0038533238280733517,2.3440734074181244,0.16331622197241408,4096,0.8607825087397827,0.3782939321067913,64,0.8774575865045207,2.067800300196323,0.3403228479074707,10.0,2.3567870543434077,6.532239784149542,10.0,1.0
59,0.0035494492315999437,2.359828081009584,0.14827974951718456,4096,0.8607825087400927,0.37840754794663917,64,0.8726388664630611,2.078346024991922,0.3403663558751557,10.0,2.441119764836533,7.528985933260978,10.0,1.0
60,0.008371637031859946,2.3528710013129612,0.3013171151364893,4096,0.8607825087401485,0.3779987474371844,64,0.8853538314007554,2.1025532865973604,0.34030883349169117,10.0,2.3674874743682093,7.354771022858663,10.0,1.0
65,0.004486351019903467,2.3619295143042156,0.1816280229988978,4096,0.8607825087403838,0.3785140904518741,64,0.8840717942483638,2.1779738570340736,0.3402863409939757,10.0,2.430743313178517,7.870028702581586,10.0,1.0
69,0.009680266456849052,2.362224502537122,0.330653310596179,4096,0.8607825087402865,0.3787210992982765,64,0.8650570588402724,1.855097503073337,0.34030313654619465,10.0,2.3840286598486795,5.797396606976569,10.0,1.0
70,0.007301156832760447,2.3637742926241105,0.26700022123794614,4096,0.8607825087404959,0.3787287073656468,64,0.8748783363695525,1.991207401810035,0.34034501837427283,10.0,2.4706783887946058,6.562713556362599,10.0,1.0
75,0.009018697736663417,2.3710961594184097,0.3068334168282612,4096,0.8607825087406111,0.3783257795952707,64,0.8981550729436423,2.2545502138320535,0.34028662255572617,10.0,2.4619043298482812,8.320514797366723,10.0,1.0
79,0.00840022335440016,2.344205263258044,0.30366308384314106,4096,0.8607825087404049,0.37853103279175426,64,0.8821156725662895,2.066145225040938,0.34032435556859253,10.0,2.4128576787348277,6.627337538742592,10.0,1.0
80,0.015208239562046755,2.343614928372125,0.422680163855921,4096,0.8607825087404535,0.3783837274491364,64,0.8752150885800712,2.00740296034696,0.3403068523842388,10.0,2.3528687768224055,6.870912236501522,10.0,1.0
85,0.01182916610143847,2.355583821210445,0.3629301344150149,4096,0.8607825087405113,0.3785695868290654,64,0.8629915443560272,1.8930262848844972,0.34027785977170133,10.0,2.2929674783454272,6.362153577389804,10.0,1.0
89,0.00855042142853668,2.3409126869077617,0.297091437795568,4096,0.8607825087404917,0.3780607365354085,64,0.8546192660139821,1.8500679571806227,0.3403405317135651,10.0,2.270460841295122,6.1523842317322055,10.0,1.0
90,0.012550388936838797,2.3545912949942447,0.38031767457742455,4096,0.8607825087405603,0.378388204863128,64,0.908046858937575,2.348807805765452,0.3403004311586906,10.0,2.5730553019429445,8.964025240448331,10.0,1.0
95,0.00850158300736148,2.3409327522663403,0.30429418332234465,4096,0.8607825087405447,0.3782148180109157,64,0.8771335325946996,2.056117901949745,0.3402980271289748,10.0,2.4549891623225437,6.874330018935969,10.0,1.0
99,0.010479590172297715,2.3442700119467035,0.3304197844179582,4096,0.8607825087408978,0.37780521138054646,64,0.8985200753219409,2.174421807752082,0.3403163929879839,10.0,2.5307945161728735,7.577736794831867,10.0,1.0
100,0.006628918953366814,2.3673987527949683,0.26340524076747157,4096,0.8607825087407912,0.378385804925769,64,0.8912544537744861,2.194785346626116,0.34028482151141476,10.0,2.4404124565601473,7.623782526268852,10.0,1.0
105,0.005336296663978057,2.3611949461841553,0.22136355373932753,4096,0.8607825087408791,0.378558210517159,64,0.8580427994511793,1.940661988256367,0.3402838494978216,10.0,2.344723254172981,6.604670977248518,10.0,1.0
109,0.008981419097416454,2.3549335470679362,0.32048976283200353,4096,0.8607825087411195,0.3784210267745987,64,0.9007692884150532,2.130893901646985,0.3403608867586813,10.0,2.6726966878019116,6.75222386982442,10.0,1.0
110,0.010342761958444191,2.347398947532188,0.32765659183876883,4096,0.8607825087411956,0.37861863712347754,64,0.8633796880860016,1.9213798978890555,0.34037153878293297,10.0,2.2772981655231255,6.834983975734712,10.0,1.0
115,0.003544338548422288,2.371014831338424,0.14304933694916022,4096,0.8607825087411874,0.3787753151793174,64,0.8836953086119674,2.0636614903439194,0.34030050799638534,10.0,2.435161645009453,7.247624889348989,10.0,1.0
119,0.006245009107547661,2.3690567465674435,0.23680617597555725,4096,0.8607825087410965,0.37914764797730605,64,0.903206249681809,2.3421691917081446,0.3404052471606162,10.0,2.54793247758694,8.341888602521806,10.0,1.0
120,0.011199708684984988,2.358980321377851,0.3255436775088807,4096,0.860782508741128,0.378179483609201,64,0.8575050894391518,1.9624423405807891,0.3402843858654653,10.0,2.2383157070503863,7.048461514131224,10.0,1.0
125,0.005284200410832218,2.3628773191955896,0.18611996589363328,4096,0.8607825087410539,0.37803917644770274,64,0.8633787016673331,1.8820982648570512,0.34027881837020774,10.0,2.3705371705301905,5.924621661873552,10.0,1.0
129,0.011285067004870086,2.3549193511070765,0.3414233364691553,4096,0.8607825087411121,0.37832581791357617,64,0.8941144709738642,2.177518884513484,0.34029188104460534,10.0,2.5005943932767254,7.5563204983077314,10.0,1.0
130,0.012607441287843635,2.3621380503821694,0.3817105137757593,4096,0.8607825087409153,0.37798581360618366,64,0.8830076729001506,2.146862413870984,0.34039886050900764,10.0,2.488002663431819,7.278125820429582,10.0,1.0
135,0.013006342212927957,2.3726924506508413,0.3959726429563547,4096,0.8607825087411685,0.37849687429918266,64,0.8642631671472479,1.9845189985819505,0.3403355047658661,10.0,2.2979353803197817,6.661928053363254,10.0,1.0
139,0.006072551100910761,2.3366119365617406,0.2455094592191015,4096,0.8607825087409117,0.3781651538129819,64,0.8730250852229245,2.0347722638333092,0.34030115760178886,10.0,2.387601722102696,6.826251519704863,10.0,1.0
140,0.005911668713922014,2.3656362213915276,0.2374018316134905,4096,0.8607825087410417,0.37855267864721365,64,0.8956163219866524,2.2260599238343857,0.34030255435440304,10.0,2.473002840495191,8.23022373227976,10.0,1.0
145,0.005209909169587856,2.3621475769039706,0.1929629785170315,4096,0.8607825087411751,0.37839621000166,64,0.8570996222247572,1.8435500056714975,0.3403114014556545,10.0,2.3643178718201865,6.091849121285824,10.0,1.0
149,0.006240820068759034,2.351497939705212,0.2567718749661532,4096,0.8607825087413119,0.3779573933781647,64,0.9000943042879679,2.2083211859756178,0.34029892868179085,10.0,2.543012621830268,7.486740857809599,10.0,1.0
150,0.003924478334181525,2.3460497601539294,0.15498092479036255,4096,0.8607825087413915,0.3785408938507593,64,0.8804354411767638,1.967872519390334,0.34032285019429365,10.0,2.343870110825497,6.826579997873151,10.0,1.0
155,0.007778592337436718,2.353547507174476,0.2942027561613357,4096,0.8607825087415947,0.3785094684798308,64,0.8874555608815531,2.139854065684011,0.3402945188455652,10.0,2.503437531236627,7.2069313523147995,10.0,1.0
159,0.010772539660217406,2.3673594952211596,0.3338231873503272,4096,0.8607825087414254,0.378448677290069,64,0.8495881482695766,1.7635929788032856,0.34037061223645115,10.0,2.2875485797875905,5.56781222292436,10.0,1.0
160,0.0067550625217580595,2.360433146890059,0.2697512426426292,4096,0.8607825087412668,0.3783789099753363,64,0.8539808879981241,1.8078140832255478,0.3402917783742088,10.0,2.3376833820129663,5.738637402780541,10.0,1.0
165,0.004142358735910623,2.3589158987320133,0.17544505525133666,4096,0.8607825087413874,0.37868643770237553,64,0.8992328250450953,2.368927615314141,0.34032916379132994,10.0,2.3994446097550117,9.186093454698737,10.0,1.0
169,0.005726293449238029,2.3403405655701213,0.23528697506422294,4096,0.8607825087417451,0.37857500685813017,64,0.8864258035901398,2.012618569206655,0.3403186074981745,10.0,2.524697746690841,6.206757798152212,10.0,1.0
170,0.005389892058073831,2.3605912146557078,0.21307212477746862,4096,0.8607825087417283,0.37820764763128856,64,0.8836160940211132,1.999895771135861,0.3405224408398007,10.0,2.502558457534693,6.640805236778441,10.0,1.0
175,0.005710590682948435,2.34169589679473,0.23949023896485078,4096,0.8607825087414754,0.378423270651426,64,0.905680887287555,2.2579957065231,0.34029539686448546,10.0,2.525806511913891,7.539785540548916,10.0,1.0
179,0.012932180742855515,2.360116024513851,0.40463920331704367,4096,0.8607825087418908,0.3782331088671344,64,0.8997811834141214,2.0972248808345877,0.34029703830975827,10.0,2.4888231379517687,6.620691456695382,10.0,1.0
180,0.010605394762921883,2.354356068927683,0.3404886070141746,4096,0.8607825087419536,0.3782666196077373,64,0.9035624911808848,2.2673232544683137,0.34031445145132416,10.0,2.4883504814730326,7.80124726719057,10.0,1.0
185,0.01114758605394206,2.347039477953627,0.34869108315638025,4096,0.860782508742255,0.3788892792280824,64,0.8848797182242385,2.0973024898658403,0.3403349013431454,10.0,2.564603553642702,6.697641726381295,10.0,1.0
189,0.008554318405257222,2.356420143135043,0.29040047508892136,4096,0.8607825087424359,0.37849933424893045,64,0.867035574895012,1.877550369110115,0.3402972688494146,10.0,2.4286319239782967,6.157171123679752,10.0,1.0
190,0.006285276848830956,2.3641979866289,0.18966171021316253,4096,0.8607825087424856,0.3788399495249887,64,0.8813797564789787,2.0991373930966635,0.34029995744919983,10.0,2.3365206675826347,7.2530225590195325,10.0,1.0
195,0.007235781225176541,2.3638533737548544,0.23855749849402919,4096,0.8607825087425408,0.37819534117572223,64,0.8925437467777697,2.1537033932384713,0.3402946554882282,10.0,2.4647292051484326,7.490414736248432,10.0,1.0
199,0.012113694425858523,2.3531834210472384,0.37836814594335033,4096,0.8607825087421708,0.37874672079511207,64,0.8770575435605985,2.001657121924879,0.34030179032637686,10.0,2.5257282368291856,6.8568212073368136,10.0,1.0
