iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.2442234099232432,0.0,0.0,False,2000,4096,1e-07,0.8735535566425917,2.045099243777587,0.34028639260100324,10.0,2.405584103943627,6.899347913523755,10.0,1.0
9,0.22256815706045713,0.0676029761638177,1.0,False,2000,4096,1e-07,0.9078139936294747,2.264303462658789,0.340287071415651,10.0,2.5469482476572223,8.166991021926306,10.0,1.0
10,0.1969177924874037,0.06468584624978464,1.0,False,2000,4096,1e-07,0.8657181929544205,2.0261873920438878,0.3403443742726767,10.0,2.2798709630125096,7.56540629259813,10.0,1.0
15,0.2558999710952228,0.08874448539125587,1.0,False,2000,4096,1e-07,0.8752370109177781,1.992622162827033,0.3403212762571882,10.0,2.4554071255964383,6.461274361501473,10.0,1.0
19,0.21210499414798706,0.08279245519599635,1.0,False,2000,4096,1e-07,0.9019742140236401,2.2722065105013036,0.3402829318897355,10.0,2.46757692299033,8.204667291228173,10.0,1.0
20,0.20696316291025035,0.06212814976354081,1.0,False,2000,4096,1e-07,0.900646689307721,2.2674837458872332,0.3403129457441848,10.0,2.5902364026708447,8.150139810749137,10.0,1.0
25,0.22407050183046848,0.06377839805061467,1.0,False,2000,4096,1e-07,0.9159381566104718,2.4190511835606636,0.3403318762847909,10.0,2.5158064990379114,9.132376528432452,10.0,1.0
29,0.21541205131788155,0.06148812294944578,1.0,False,2000,4096,1e-07,0.8643113361079257,1.9390142586026924,0.34034433112248047,10.0,2.40724465600213,6.199972113233783,10.0,1.0
30,0.2367870690954482,0.07250088875433192,1.0,False,2000,4096,1e-07,0.8784018255385941,2.0039047214427494,0.34029434471143566,10.0,2.420500027876759,6.640073384223867,10.0,1.0
35,0.19769780745415838,0.07547556855230325,1.0,False,2000,4096,1e-07,0.8830455369894881,2.148658571877016,0.3403914151193587,10.0,2.404816407483244,7.702060939468384,10.0,1.0
39,0.23779391203616299,0.0754622492271545,1.0,False,2000,4096,1e-07,0.8859726237461478,2.1082863379630394,0.34029815656847034,10.0,2.4140725219640013,7.023817846071318,10.0,1.0
40,0.2892974113159842,0.09132818184598508,1.0,False,2000,4096,1e-07,0.8969365824544328,2.1382324903591297,0.3404076604153782,10.0,2.609286862790104,7.161082562665515,10.0,1.0
45,0.23334965261745946,0.09501094500561082,1.0,False,2000,4096,1e-07,0.8970274957022275,2.1290317611617477,0.34029609730215626,10.0,2.580054389611459,6.870097483299841,10.0,1.0
49,0.19983504903087557,0.07334640771104942,1.0,False,2000,4096,1e-07,0.8888069051471934,2.016195360959626,0.34034869590439476,10.0,2.5212873609809754,6.385209723389829,10.0,1.0
50,0.26024110325698424,0.08901346246862354,1.0,False,2000,4096,1e-07,0.8964242356930983,2.1009296878412775,0.34046085434437906,10.0,2.5219806496222894,7.006549339650418,10.0,1.0
55,0.22222358315311774,0.07752294130135587,1.0,False,2000,4096,1e-07,0.8572681775134046,1.80443372447442,0.3403259874382967,10.0,2.393227177065048,5.648416059503248,10.0,1.0
59,0.25800559681402585,0.08157533311025018,1.0,False,2000,4096,1e-07,0.910090641517538,2.2554755876640358,0.3404123000142061,10.0,2.5445825679442047,7.702699577756958,10.0,1.0
60,0.2206562582695835,0.07718621446276655,1.0,False,2000,4096,1e-07,0.8865515615503643,2.1163635453140817,0.3402834280796077,10.0,2.453683514037099,7.182309554322732,10.0,1.0
65,0.2181326248214226,0.06164529082767061,1.0,False,2000,4096,1e-07,0.8698751613975555,2.078381947368422,0.34048121617063787,10.0,2.329413650757736,7.563528039595756,10.0,1.0
69,0.22013629687404576,0.059062019557252855,1.0,False,2000,4096,1e-07,0.8909872309960691,2.1684278078932935,0.3403239485248502,10.0,2.41827380926314,7.614547787479517,10.0,1.0
70,0.2700686243409446,0.08769363613285151,1.0,False,2000,4096,1e-07,0.8882115970206266,2.031362381186858,0.34029211474140186,10.0,2.429291722314583,6.6623444927031255,10.0,1.0
75,0.22352961825186188,0.08424072162486647,1.0,False,2000,4096,1e-07,0.8594281048029608,1.895900055110106,0.3403161688629989,10.0,2.3008858953582534,6.134710369924448,10.0,1.0
79,0.254240665915265,0.07150594938255783,1.0,False,2000,4096,1e-07,0.8993050623827654,2.2518735486916555,0.34036228973412364,10.0,2.4793721904433057,7.916654431377336,10.0,1.0
80,0.22140302449764424,0.07285072743626131,1.0,False,2000,4096,1e-07,0.863368761691596,1.8956442882787057,0.3402993451377403,10.0,2.406194040613527,6.210896072478761,10.0,1.0
85,0.19757276680306438,0.06587614049140049,1.0,False,2000,4096,1e-07,0.8523615799184637,1.8456441774727446,0.3403041798108089,10.0,2.1876000327447795,6.168065708339163,10.0,1.0
89,0.2426231511499916,0.08093975698981144,1.0,False,2000,4096,1e-07,0.9099370132058371,2.293446297362374,0.3402981190972059,10.0,2.4579125577339904,8.437520281339234,10.0,1.0
90,0.22641500418378852,0.07252136451766028,1.0,False,2000,4096,1e-07,0.8668255789791386,1.9686555103947854,0.3403004402700851,10.0,2.436917392553002,6.6143202173705955,10.0,1.0
95,0.21580209265350583,0.0617387902252604,1.0,False,2000,4096,1e-07,0.8724898822636402,2.1087069315120903,0.3403005765493093,10.0,2.349322678853709,7.614985732355984,10.0,1.0
99,0.26836890971007277,0.08627531577259552,1.0,False,2000,4096,1e-07,0.9000184965555336,2.1497987431704253,0.34029961926457697,10.0,2.548037378497771,7.113596660535331,10.0,1.0
100,0.21466979313954782,0.08838064272642612,1.0,False,2000,4096,1e-07,0.8636795451058585,1.973623959946244,0.3403497164083606,10.0,2.3373803444334933,6.880588326974063,10.0,1.0
105,0.1886423855202001,0.05934303297692018,1.0,False,2000,4096,1e-07,0.8837616005198925,2.106912504663334,0.34029032612027543,10.0,2.3789484001562755,7.042500856172134,10.0,1.0
109,0.23970412562504856,0.08227868894081822,1.0,False,2000,4096,1e-07,0.8705728189247671,1.9272739557077594,0.3402900766659632,10.0,2.4865288872610405,5.997806784665678,10.0,1.0
