iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.619889168341691e-05,7.223314658041441e-06,8.975577025375469e-06,0.5540858720948129,8,200,200
9,1.5259798315722634e-05,7.779552033097084e-06,7.480246282625551e-06,0.4901929978273976,8,200,200
10,1.635834865384731e-05,7.907428270003915e-06,8.450920383843396e-06,0.5166120714669954,8,200,200
15,1.4321565728964057e-05,7.339389204820613e-06,6.982176524143444e-06,0.4875288537776725,8,200,200
19,1.553325160884819e-05,8.289763014249725e-06,7.243488594598464e-06,0.4663214616617916,8,200,200
20,1.489100579241355e-05,8.087085448149506e-06,6.803920344264043e-06,0.45691476043414103,8,200,200
25,1.3889396561959467e-05,7.5395223365305045e-06,6.349874225428963e-06,0.4571742333875119,8,200,200
29,1.528540587376169e-05,7.146665245984797e-06,8.138740627776893e-06,0.5324517186519415,8,200,200
30,1.530249296331492e-05,8.247782320213064e-06,7.054710643101857e-06,0.46101708133532915,8,200,200
35,1.615079328994846e-05,8.519650347331856e-06,7.631142942616604e-06,0.4724933819421669,8,200,200
39,1.4170285671826084e-05,7.348671852044528e-06,6.821613819781556e-06,0.4814027026529575,8,200,200
40,1.69423850674723e-05,8.18757758862676e-06,8.754807478845542e-06,0.5167399657120239,8,200,200
45,1.353265779763932e-05,7.28902953097526e-06,6.243628266664059e-06,0.461374872551142,8,200,200
49,1.4395511888975376e-05,6.9018017308481695e-06,7.493710158127206e-06,0.5205587835932511,8,200,200
50,1.549784330144952e-05,6.9634276267320255e-06,8.534415674717493e-06,0.5506840860830787,8,200,200
55,1.4824298826624582e-05,7.687196590273414e-06,7.137102236351168e-06,0.481446193160439,8,200,200
59,1.5526475910162925e-05,7.796900752546935e-06,7.72957515761599e-06,0.49783190998007226,8,200,200
60,1.695715729461783e-05,8.404321622321414e-06,8.552835672296414e-06,0.5043790963129811,8,200,200
65,1.5903411026866443e-05,7.06477154235684e-06,8.838639484509602e-06,0.5557700464119325,8,200,200
69,1.6064641928212552e-05,7.444630401233893e-06,8.620011526978659e-06,0.5365828610123135,8,200,200
70,1.4430204472615066e-05,7.080989044151254e-06,7.349215428463812e-06,0.5092939218159238,8,200,200
75,1.426649097147129e-05,6.001708152765737e-06,8.264782818705553e-06,0.5793143412232653,8,200,200
79,1.512821656132605e-05,7.0327891825858255e-06,8.095427378740224e-06,0.5351210663810478,8,200,200
80,1.5593414942469407e-05,7.791947038223582e-06,7.801467904245824e-06,0.5003052848288001,8,200,200
