iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999785732262312,0.9999785732262312,3.1170148027600042e-06,20,4096,7.5e-05,0.8798260838659903,2.0721151928830923,0.3402852915244582,10.0,2.4310537529908243,7.086839469993796,10.0,1.0
9,0.9999774305450797,0.9999774305450797,1.8946957877447805e-06,20,4096,7.5e-05,0.8784594891166639,2.0599733437045447,0.340292237121291,10.0,2.4384593866918216,6.993132255593322,10.0,1.0
10,0.9999779994715149,0.9999779994715149,1.941136704406178e-06,20,4096,7.5e-05,0.8798491879676277,2.067557560140269,0.34027920893659863,10.0,2.4146380099267946,6.966458759249237,10.0,1.0
15,0.9999766913612639,0.9999766913612639,1.6265051772347775e-06,20,4096,7.5e-05,0.8843300404393077,2.0664203646362416,0.34028926211801047,10.0,2.484642848982491,6.8752220186642665,10.0,1.0
19,0.9999779621129825,0.9999779621129825,3.25045588114434e-06,20,4096,7.5e-05,0.8886014877489323,2.1031382591404664,0.3402790995237654,10.0,2.529188214362951,7.001423353819356,10.0,1.0
20,0.9999774814738189,0.9999774814738189,3.016696990042371e-06,20,4096,7.5e-05,0.887947697262639,2.096171733181606,0.3402818178763294,10.0,2.4679205685406655,7.102783417929228,10.0,1.0
25,0.9999773337468647,0.9999773337468647,4.4204584434298595e-06,20,4096,7.5e-05,0.8889497777486335,2.152372174536457,0.34029952531740904,10.0,2.498628379971339,7.449711042648183,10.0,1.0
29,0.9999767587362889,0.9999767587362889,3.084557706894097e-06,20,4096,7.5e-05,0.884254654992791,2.081625866801149,0.34028598009404154,10.0,2.4446461424943173,7.0372717041661375,10.0,1.0
30,0.9999764469298806,0.9999764469298806,6.6886727582027e-06,20,4096,7.5e-05,0.8896681973923315,2.1115199652257717,0.34027928561319826,10.0,2.4808530642634166,7.128798874724518,10.0,1.0
35,0.9999748889730302,0.9999748889730302,4.093084781684783e-06,20,4096,7.5e-05,0.8889468635039147,2.1334577082509245,0.34028137225649185,10.0,2.5173290613980366,7.118749010460586,10.0,1.0
39,0.9999781174655693,0.9999781174655693,2.4320205690767045e-06,20,4096,7.5e-05,0.8823322697721877,2.0973376592506403,0.34027819883283966,10.0,2.4706732964977,7.1789177177682255,10.0,1.0
40,0.9999765393234069,0.9999765393234069,2.4588234996133614e-06,20,4096,7.5e-05,0.8941584131488108,2.147637606889721,0.3402867867928528,10.0,2.503294286091121,7.2182405889140595,10.0,1.0
45,0.9999763510779238,0.9999763510779238,4.564934619360134e-06,20,4096,7.5e-05,0.887030324161863,2.1211437934817576,0.34029342839424404,10.0,2.4753981261413074,7.2904789092647375,10.0,1.0
49,0.9999764238777356,0.9999764238777356,2.298562273861748e-06,20,4096,7.5e-05,0.8819279643101295,2.1086864699980046,0.3402789356168064,10.0,2.4338683556919585,7.225014146144546,10.0,1.0
50,0.9999748614156887,0.9999748614156887,2.921739381360822e-06,20,4096,7.5e-05,0.8862684738661685,2.100676882328589,0.3402797096865488,10.0,2.4717165106306127,7.042974148153119,10.0,1.0
55,0.9999749986482833,0.9999749986482833,5.959761628372854e-06,20,4096,7.5e-05,0.8848209019813043,2.0849911007950976,0.340277993516327,10.0,2.4883726687874805,7.026904614067739,10.0,1.0
59,0.9999762362407505,0.9999762362407505,5.029047197778072e-06,20,4096,7.5e-05,0.8950870386997529,2.1836078200096742,0.3402886686921908,10.0,2.4941378623751542,7.357604626425097,10.0,1.0
60,0.9999768035009529,0.9999768035009529,2.95898597485115e-06,20,4096,7.5e-05,0.8780779250290738,2.040444443346432,0.34027901972730096,10.0,2.4496730843915264,6.922450677411421,10.0,1.0
65,0.9999773038249702,0.9999773038249702,2.3234523101942995e-06,20,4096,7.5e-05,0.884688298224106,2.049286664240588,0.34027977371619883,10.0,2.4142969929621665,6.849761456735581,10.0,1.0
69,0.9999775761301386,0.9999775761301386,4.278689738621116e-06,20,4096,7.5e-05,0.885284363347947,2.0821585307232597,0.3402952029057108,10.0,2.4289804033838647,7.126404551795718,10.0,1.0
70,0.9999783618649273,0.9999783618649273,2.1130536280620702e-06,20,4096,7.5e-05,0.8865805791194776,2.1187126720618012,0.3402784615803881,10.0,2.4747173469003645,7.262496782799306,10.0,1.0
75,0.9999765433988503,0.9999765433988503,3.1294323877932725e-06,20,4096,7.5e-05,0.883315206846286,2.096925762953562,0.34028917672017833,10.0,2.4033601579224353,7.047806814102842,10.0,1.0
79,0.9999775618333193,0.9999775618333193,6.447423402867769e-06,20,4096,7.5e-05,0.8732473161574303,1.9875938149206083,0.340279384353716,10.0,2.38614685616236,6.5613004509709,10.0,1.0
80,0.9999795657575989,0.9999795657575989,2.29617701665117e-06,20,4096,7.5e-05,0.8876386400383675,2.1061871293230197,0.34027792883264146,10.0,2.499115247445955,7.02921898306194,10.0,1.0
85,0.99997386002373,0.99997386002373,7.686782295833416e-06,20,4096,7.5e-05,0.8924220197613686,2.1532587658593743,0.3402854697222864,10.0,2.475987799858701,7.346561700037528,10.0,1.0
89,0.9999746511019127,0.9999746511019127,6.126706357502332e-06,20,4096,7.5e-05,0.8814239922764762,2.0831148047926713,0.34028647291245157,10.0,2.4117365832400655,7.022097382257526,10.0,1.0
90,0.9999754297815928,0.9999754297815928,4.865226012713711e-06,20,4096,7.5e-05,0.885636690628029,2.1357373021084944,0.34028241447439994,10.0,2.457940376998505,7.4201238121713535,10.0,1.0
95,0.9999785306181889,0.9999785306181889,2.5717871643700493e-06,20,4096,7.5e-05,0.8785228901443587,2.0147399680685623,0.340278738839756,10.0,2.4587450751662945,6.6038946543998165,10.0,1.0
99,0.9999762159980381,0.9999762159980381,4.000717437069058e-06,20,4096,7.5e-05,0.8786619037515329,2.0400138845829265,0.3402838379317769,10.0,2.421669808475428,6.960101677376329,10.0,1.0
100,0.9999784322403157,0.9999784322403157,1.350181966147777e-06,20,4096,7.5e-05,0.879521845276831,2.054598249222107,0.34027898852201155,10.0,2.4355725126288497,7.015090564915242,10.0,1.0
105,0.9999781484849652,0.9999781484849652,2.2576827356842876e-06,20,4096,7.5e-05,0.8885789856556476,2.1428507657570055,0.3402812932344854,10.0,2.500249881184328,7.369469909757234,10.0,1.0
109,0.9999763463432805,0.9999763463432805,4.270677822105046e-06,20,4096,7.5e-05,0.8831002710759308,2.0617576526447237,0.3402790321655594,10.0,2.4520342476290558,6.950704897116751,10.0,1.0
110,0.999974880847611,0.999974880847611,4.07304472147877e-06,20,4096,7.5e-05,0.891507823708298,2.166099232304975,0.3402809741213566,10.0,2.4683064918572546,7.454383148342479,10.0,1.0
115,0.9999762183246108,0.9999762183246108,3.52672349758613e-06,20,4096,7.5e-05,0.872310678412014,1.997157532988001,0.3402820399246762,10.0,2.4252164116703634,6.635132098006108,10.0,1.0
119,0.9999746851548836,0.9999746851548836,4.266601433843032e-06,20,4096,7.5e-05,0.883324595370812,2.070295958706745,0.3402867590789787,10.0,2.408488869479363,6.9334988546241325,10.0,1.0
120,0.9999794219567735,0.9999794219567735,2.03660656374872e-06,20,4096,7.5e-05,0.8858545703873204,2.10184154633141,0.34028490680767287,10.0,2.4717596480140833,7.030668712262069,10.0,1.0
125,0.9999777103492062,0.9999777103492062,4.763694241529181e-06,20,4096,7.5e-05,0.8922915655147817,2.176832235085775,0.34028299994104194,10.0,2.4222445888379704,7.593341782531606,10.0,1.0
129,0.9999761527399809,0.9999761527399809,2.6050009527787563e-06,20,4096,7.5e-05,0.8896316009145371,2.126414662479646,0.3402803601781929,10.0,2.5044758664751154,7.022005347656993,10.0,1.0
130,0.9999782200236679,0.9999782200236679,2.198195095801001e-06,20,4096,7.5e-05,0.8764992165671746,2.060722611979338,0.3403037108859589,10.0,2.415045210277256,6.980121206758479,10.0,1.0
135,0.9999772364490709,0.9999772364490709,3.7481466491819315e-06,20,4096,7.5e-05,0.8836547276795695,2.08226553655474,0.34028095859148694,10.0,2.4269836248816974,7.054021979431611,10.0,1.0
139,0.9999770887086663,0.9999770887086663,2.560690856444581e-06,20,4096,7.5e-05,0.8903254607134858,2.1203080723999777,0.3402975856233715,10.0,2.4891016226495677,6.988565680638948,10.0,1.0
140,0.9999759341319738,0.9999759341319738,3.792560152878377e-06,20,4096,7.5e-05,0.8802586279419353,2.0740882951373356,0.34027933090091395,10.0,2.4156340856772696,6.897754837064911,10.0,1.0
145,0.9999757774769391,0.9999757774769391,4.119503640392164e-06,20,4096,7.5e-05,0.8884424044510324,2.1615025480150662,0.3402820758361644,10.0,2.4478053826295967,7.517868069019449,10.0,1.0
149,0.9999753618321224,0.9999753618321224,5.356590383144577e-06,20,4096,7.5e-05,0.8865884541627059,2.1242726043169817,0.34027912832906904,10.0,2.4624551369291603,7.19191442313074,10.0,1.0
150,0.9999770168107986,0.9999770168107986,4.739006430812962e-06,20,4096,7.5e-05,0.8798417970091257,2.0401254143960346,0.34028893839253715,10.0,2.4418539823998393,6.7479891248199415,10.0,1.0
155,0.9999762516833512,0.9999762516833512,3.923909190702113e-06,20,4096,7.5e-05,0.8887663163436994,2.142467868002016,0.3402796868583853,10.0,2.459905793230429,7.3292899459672585,10.0,1.0
159,0.9999761634744957,0.9999761634744957,5.982631365576763e-06,20,4096,7.5e-05,0.8858006741972836,2.0562527867267053,0.3402851260707346,10.0,2.461950399256757,6.6009258118150385,10.0,1.0
160,0.9999759408283648,0.9999759408283648,3.654931980192795e-06,20,4096,7.5e-05,0.8890526225960899,2.152479843269036,0.3403055554987812,10.0,2.426391961550198,7.351224697889521,10.0,1.0
165,0.9999775582221853,0.9999775582221853,2.8821645957455373e-06,20,4096,7.5e-05,0.8839472664084638,2.1092021815131354,0.3402789027475458,10.0,2.442827441081601,7.1827204963827604,10.0,1.0
169,0.9999773426073357,0.9999773426073357,3.1541909813134026e-06,20,4096,7.5e-05,0.8911842973337255,2.1232050661101125,0.3402844960100849,10.0,2.482761317525702,7.176974401235511,10.0,1.0
170,0.999978136686172,0.999978136686172,3.5773866261288958e-06,20,4096,7.5e-05,0.8729878497967043,1.9791902900861658,0.34028360253888684,10.0,2.3971383192609466,6.721555037875694,10.0,1.0
175,0.9999757145227118,0.9999757145227118,4.083955211659001e-06,20,4096,7.5e-05,0.8826299752156915,2.085982276987148,0.3402817018614697,10.0,2.450618687892193,7.091856185675566,10.0,1.0
179,0.9999781257240254,0.9999781257240254,1.358911930157602e-06,20,4096,7.5e-05,0.8820399009508253,2.0631839758388386,0.3402835950864825,10.0,2.4313948290946468,6.861276533551171,10.0,1.0
180,0.9999754147865025,0.9999754147865025,5.528576284253534e-06,20,4096,7.5e-05,0.883315281027375,2.066409330982403,0.34028291337908995,10.0,2.463095533062589,6.917214713045995,10.0,1.0
185,0.9999781275545726,0.9999781275545726,4.3696322915471155e-06,20,4096,7.5e-05,0.8918307006978019,2.149451927390375,0.3402969550612444,10.0,2.530260167899542,7.1816690958258995,10.0,1.0
189,0.9999762093048564,0.9999762093048564,3.6090645023853768e-06,20,4096,7.5e-05,0.8771433364144888,2.0452550883518597,0.34029131756031644,10.0,2.4277590907393813,6.979466073114212,10.0,1.0
190,0.9999715924547511,0.9999715924547511,7.736704400354858e-06,20,4096,7.5e-05,0.8954625347921594,2.1858849294552356,0.34028161645105076,10.0,2.502491212743931,7.55724898049838,10.0,1.0
195,0.9999791513486531,0.9999791513486531,2.825731682427786e-06,20,4096,7.5e-05,0.8709634267650155,2.027866516179527,0.340282408645717,10.0,2.369298859532456,7.021918889811037,10.0,1.0
199,0.9999759393693938,0.9999759393693938,1.783857456648461e-06,20,4096,7.5e-05,0.8790267528947318,2.040454951005095,0.34028455293965987,10.0,2.3929456075756357,6.849632920112566,10.0,1.0
