iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.734058675492508e-05,0.013945541615592739,1.98671324118988e-15,1.0167883087800882,3.1161512090041588,1.0167883087800882,3.1161512090041597,1.0167883087800882,3.1161512090041588,7.088844913147904e-16,5.437464121047119,4.5371340632308375,5.2486150668899025,20.58558604740517,27.547960551486565,29.56601606767472,0.0,0.0,0.0,0.0,-0.0005934541798476426,0.0041216985444530565,0.002464450246492892,0.0042003825011265135,0.024475903778543952,4.581683607991906,1.013630086793958e-06,0.0001437395268964779,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.6951797405833466e-05,0.013945417232757114,3.779419820600024e-15,0.9737596106867037,2.810297088595081,0.9737596106867037,2.810297088595081,0.9737596106867037,2.810297088595081,5.717371301694407e-17,5.4444342237223475,4.137656170553126,5.1785183689843635,17.12020213271328,26.817055440135807,29.64186401643916,0.0,0.0,0.0,0.0,-0.0007170297339598552,0.004054339128199678,0.0022886401247137708,0.004716077126771539,0.021337881244889917,4.5816817252892665,1.020504473637024e-06,0.0001020019075935696,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.643016477403925e-05,0.013945244950526282,5.530020802046361e-15,0.9948167870723359,2.976077668105841,0.9948167870723359,2.9760776681058405,0.9948167870723359,2.976077668105841,2.7897013629378407e-19,5.430445959844711,4.349613074226415,5.219102436823312,18.919152379294438,27.239030835317052,29.489743322793746,0.0,0.0,0.0,0.0,-0.0007001024734298922,0.003992495623133054,0.0023962195311529907,0.004048932501925309,0.023918162157671837,4.581679425399436,1.044680056026193e-06,0.00014801367954996576,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.673973180834639e-05,0.013945050214574102,6.1976548849047355e-15,1.0265407174948484,3.124050357923337,1.0265407174948484,3.1240503579233376,1.0265407174948484,3.124050357923337,6.465856582857749e-18,5.4405649213291,4.436085003331744,5.2099257157895975,19.678854429437823,27.14332598079564,29.59974666319672,0.0,0.0,0.0,0.0,-0.0006923034141016832,0.004032424554925925,0.002426168589965409,0.003792606329973194,0.022524906240074034,4.581676721866278,1.0877745715294426e-06,0.00017749505596732372,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.5880068391419925e-05,0.013944872777053297,7.704538381829982e-15,0.9936716305005924,3.001145774690515,0.9936716305005925,3.001145774690515,0.9936716305005924,3.001145774690515,5.617736217273493e-16,5.435059328333752,4.3249800192963255,5.213765724451048,18.705452167530346,27.18335321534949,29.539869902507736,0.0,0.0,0.0,0.0,-0.0006025155331113908,0.003939167859304732,0.0025971272461052255,0.004440783289542541,0.024973176213141983,4.581674312136006,1.3092903019753133e-06,0.00015049295942074615,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.7536011122841312e-05,0.013944694700166666,1.542198961346929e-14,0.9619625104492531,2.754338024615489,0.9619625104492531,2.754338024615489,0.9619625104492531,2.754338024615489,7.477470087808598e-19,5.430668055551966,4.118162493495613,5.11033352060062,16.959262911754216,26.115508698871,29.492155529592576,0.0,0.0,0.0,0.0,-0.0007374913493309449,0.00412214963732557,0.002266551221884812,0.004674584621624995,0.025264223167796643,4.581672507219943,1.3985029336292076e-06,0.00015657964547259427,0.2809381454822907,0.0,0.0,0.9999754590034418,0.005639030761910968,0.2439852688587667,0.8782691901621633,0.5474716747822422,7.708922522918884e-06,9.827088599922428e-06,0.5603947517529957
6,1.5077993955793605e-05,0.01394450958480532,1.5771154828942252e-14,0.9708439007707483,2.894823057208654,0.9708439007707483,2.894823057208654,0.9708439007707483,2.894823057208654,2.7504397941297136e-19,5.434807270011659,4.355462939862124,5.217136050873562,18.970057889112415,27.2185088138365,29.537130062171585,0.0,0.0,0.0,0.0,-0.0007094372169858598,0.0038176815989483673,0.0021001240177095024,0.0043064382070397995,0.0257380375926491,4.581670189535866,1.0746063845782153e-06,0.00015794888523108745,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.5925653347823123e-05,0.013944344717603814,1.4356979254294443e-14,1.0079407797479127,3.031739671165786,1.0079407797479127,3.031739671165785,1.0079407797479127,3.031739671165786,3.0413111866890888e-15,5.442007348383322,4.407853715719039,5.165715492380042,19.429176353216004,26.684616838344358,29.61544397985807,0.0,0.0,0.0,0.0,-0.0007455904629249641,0.003920427044266793,0.0023497490544561635,0.004229867036228692,0.008020563392204774,4.581667156425719,1.2699718818152704e-06,0.0001411561540564079,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.729594878249372e-05,0.013944182923853745,1.7199527576821388e-14,0.9933193175807509,2.942668176847938,0.9933193175807509,2.942668176847939,0.9933193175807509,2.942668176847938,2.8232313523154216e-21,5.44164739272824,4.3363212605715615,5.197041759158604,18.803686772509597,27.009243074672533,29.61152634678605,0.0,0.0,0.0,0.0,-0.0007875969367531211,0.004083581742503855,0.002295973706010092,0.004139983779248965,0.01741693919026352,4.581665580854182,1.1022740980417067e-06,0.0001433325804118893,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.580600300054484e-05,0.013944026615199574,2.0767684975259927e-14,0.9862158979823229,3.0419813862997374,0.9862158979823229,3.0419813862997374,0.9862158979823229,3.0419813862997374,1.8562033002366364e-16,5.442243220131164,4.404214719202287,5.2637824570492615,19.397107400102122,27.707417936163278,29.618011267063626,0.0,0.0,0.0,0.0,-0.0008062636574757474,0.0038930633073684623,0.00208352844777228,0.0043660318543067836,0.02249957589639373,4.581663695549886,1.3464661529852139e-06,0.00011687548764163532,0.22318924731407158,0.09959611987893494,1.0,0.9999731417328988,0.009230225112876522,0.3248853420309811,0.8782691901621638,0.5143517010930679,7.733073249157833e-06,8.072929751387008e-06,0.5107508679524311
