iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.005639030761910968,2.358056986198397,0.2439852688587667,4096,0.8782691901621633,0.5474716747822422,64,1.006273517102959,3.0414187173089604,7.561828035915692e-16,5.442143793890321,4.339219732333677,5.232217889900653,10.0,1.0
9,0.009230225112876522,2.35340029900949,0.3248853420309811,4096,0.8782691901621638,0.5143517010930679,64,0.9762281173327996,2.822269471762293,2.2321012071176657e-16,5.443874895701404,4.2181056673286665,5.1009890367820905,10.0,1.0
10,0.004348472036274975,2.3648447548940053,0.18110127713290422,4096,0.8782691901621649,0.5198024240761431,64,1.0030846613747304,3.017836029347499,2.4045280853866117e-19,5.438844103051391,4.370483630036047,5.229158980706423,10.0,1.0
15,0.005991336773758293,2.3819290782808458,0.2697780638414225,4096,0.8782691901621682,0.5123750892607666,64,1.026512056531352,3.121637333034739,2.209584691269397e-16,5.425198032302268,4.415689247111374,5.2308662040500415,10.0,1.0
19,0.006791970149736981,2.3589367048760024,0.2552733796198896,4096,0.8782691901621706,0.5384940202272406,64,1.0022424228445812,3.0155026084234615,3.746346898531161e-15,5.442511375725654,4.405108402989752,5.183362313692083,10.0,1.0
20,0.006619984256013622,2.353358445323305,0.2555760947608988,4096,0.8782691901621736,0.5055417108602247,64,0.9744097919283127,2.9047363965360806,4.0291778473918966e-15,5.443524594587695,4.3424139579475876,5.1235115647328815,10.0,1.0
25,0.006257539705500803,2.3658580009403405,0.2441285311419208,4096,0.8782691901621784,0.828042009305151,64,0.9675212062500933,2.8541067806258393,4.7762003397145796e-18,5.443385463543894,4.219900872676234,5.194582465935011,10.0,1.0
29,0.010953136632394389,2.345654687319107,0.31638951853790875,4096,0.8782691901621802,0.5076478315754889,64,0.995128122241499,2.979326008088756,1.7990255257221568e-17,5.442668415310928,4.349434723980612,5.190359115313878,10.0,1.0
30,0.005346707423484753,2.362340104978613,0.19809370408702504,4096,0.878269190162182,0.574647270823702,64,0.9750422108543167,2.857110903218574,6.422740846546329e-17,5.441904544333442,4.2116356299450795,5.167226652006092,10.0,1.0
35,0.007308633069773585,2.352773672866452,0.2699287991640107,4096,0.8782691901621913,0.5117263268597407,64,0.9835829084773824,2.946419326737869,5.287898474619785e-16,5.43384848138166,4.3353827172446495,5.205145755339609,10.0,1.0
39,0.0074111127002396415,2.352049259436976,0.2748260152739617,4096,0.8782691901621917,0.5044372075465222,64,1.0604068304771395,3.245947354704642,3.9914636392883274e-19,5.4406315707677635,4.387597540355709,5.226198471337493,10.0,1.0
40,0.008842567192354545,2.363867862446559,0.3241894189062515,4096,0.8782691901621948,0.5003435761565106,64,0.9605521339907488,2.8134395805939176,1.1754477764695952e-17,5.437144096225394,4.227180735596722,5.169643783282066,10.0,1.0
45,0.010841066989098591,2.3680400322614665,0.3660036448887627,4096,0.8782691901622036,0.5221465084367921,64,1.008314388488229,3.0741791818451167,2.815879414254099e-16,5.434639079430656,4.383240994294628,5.205249970107495,10.0,1.0
49,0.01033457236742552,2.3652551591915425,0.364387460484726,4096,0.8782691901622186,0.5372121929897127,64,0.9418693407391519,2.758191846623659,5.268362214635731e-16,5.433755200026412,4.190300886156459,5.1836869400391645,10.0,1.0
50,0.0074715695152275385,2.358267036895653,0.2787129793378353,4096,0.8782691901622222,0.7250209131121987,64,1.005317700704325,2.9818437681758936,2.882743562545127e-14,5.439836357304591,4.2871943990926,5.231053099084605,10.0,1.0
55,0.0041989056055848906,2.351724129584627,0.17758939749066183,4096,0.8782691901622361,0.5061034897311621,64,0.9989829423503678,2.9483940363400465,3.0855451465469774e-19,5.439588842811436,4.254958438620395,5.213374688055162,10.0,1.0
59,0.006561500101518125,2.356247517090684,0.25152927633952854,4096,0.8782691901622367,0.5232265046031916,64,0.9758905101455899,2.850078363705509,7.523442167571482e-17,5.434907094363308,4.155783697297536,5.144987939082612,10.0,1.0
60,0.009854675125729795,2.35910168235934,0.33668434029559924,4096,0.8782691901622417,0.5315981764827671,64,0.9840543450978542,2.9250046947079857,3.496141654193191e-17,5.441097820847849,4.300686695549076,5.139253411670554,10.0,1.0
65,0.008608260324660888,2.360399808799425,0.3181628209899566,4096,0.8782691901622459,0.5889150651910101,64,1.0091264172831278,3.0273204506388316,7.578929221865623e-15,5.443521526119428,4.4031394739609055,5.188439360918276,10.0,1.0
69,0.012775017564951585,2.3672352836895336,0.39098905304757453,4096,0.8782691901622465,0.5181012511548907,64,1.0196522353376132,3.0693833849831824,1.3321590782745942e-18,5.441712243047907,4.379149065296437,5.206531823500015,10.0,1.0
70,0.006772025429555906,2.356841666967454,0.25963090914928116,4096,0.8782691901622406,0.5322255777972875,64,1.0063046076680895,3.0329182981580773,1.2417589227489412e-17,5.437201608925523,4.3358701850841594,5.2145167455564465,10.0,1.0
75,0.010671316714904955,2.3672107205532797,0.3400908920469094,4096,0.8782691901622564,0.54249070280665,64,0.9739219369297119,2.8815768893901734,6.053923812454669e-18,5.443491577737188,4.328804348711625,5.22517609989285,10.0,1.0
79,0.010198998780125201,2.358630367911579,0.34858970340984424,4096,0.8782691901622559,0.5179165211501592,64,1.0006889751133974,2.997421278142433,2.766873232478959e-16,5.439426410960515,4.33167686095606,5.19959502484456,10.0,1.0
