iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.7536011122841312e-05,7.708922522918884e-06,9.827088599922428e-06,0.5603947517529957,8,200,200
9,1.580600300054484e-05,7.733073249157833e-06,8.072929751387008e-06,0.5107508679524311,8,200,200
10,1.8220012451986577e-05,9.773583762795413e-06,8.446428689191164e-06,0.4635797429584208,8,200,200
15,1.4803591063989792e-05,8.504896580905573e-06,6.2986944830842196e-06,0.4254842258109922,8,200,200
19,1.5954845423577214e-05,8.51614061280264e-06,7.438704810774573e-06,0.4662348404693445,8,200,200
20,1.599224218560924e-05,8.18281437152599e-06,7.80942781408325e-06,0.488326009789336,8,200,200
25,1.5463200956839532e-05,7.868259469991472e-06,7.594941486848059e-06,0.49116230902300595,8,200,200
29,1.4209536311039882e-05,6.236032221885069e-06,7.973504089154814e-06,0.5611375286722003,8,200,200
30,1.7103398013547815e-05,7.838266012875356e-06,9.265132000672459e-06,0.5417129387583351,8,200,200
35,1.5542351345212873e-05,8.026720527435365e-06,7.5156308177775084e-06,0.4835581599493543,8,200,200
39,1.6830752301846324e-05,7.613755775680714e-06,9.21699652616561e-06,0.5476283151736784,8,200,200
40,1.7909127354915853e-05,8.051942842988194e-06,9.857184511927659e-06,0.550400045551185,8,200,200
45,1.530595541715176e-05,7.344863221106343e-06,7.961092196045415e-06,0.5201303661922512,8,200,200
49,1.57656188435392e-05,8.145078014590956e-06,7.620540828948244e-06,0.48336452279963404,8,200,200
50,1.613652142730839e-05,7.681343120537638e-06,8.455178306770752e-06,0.5239777572173494,8,200,200
55,1.7617324335992255e-05,9.205834390706944e-06,8.41148994528531e-06,0.47745558774215263,8,200,200
59,1.5789757943261513e-05,8.435936952516839e-06,7.353820990744674e-06,0.4657336114441839,8,200,200
60,1.7398328982945854e-05,8.70780645830188e-06,8.690522524643974e-06,0.4995032875377041,8,200,200
65,1.63781440321484e-05,7.5543278839345326e-06,8.823816148213866e-06,0.5387555592925387,8,200,200
69,1.7375450790405976e-05,9.363029085705395e-06,8.01242170470058e-06,0.461134608900318,8,200,200
70,1.4443423367514066e-05,7.510797679658571e-06,6.932625687855495e-06,0.47998493926642444,8,200,200
75,1.4264721327599222e-05,7.775383656177795e-06,6.489337671421427e-06,0.4549221483118587,8,200,200
79,1.6840111721576832e-05,7.974952108391763e-06,8.86515961318507e-06,0.526431163863738,8,200,200
80,1.5376713174559193e-05,7.542958411414215e-06,7.833754763144978e-06,0.5094557383112239,8,200,200
85,1.7374651269498573e-05,9.215985785346504e-06,8.158665484152069e-06,0.469572905815653,8,200,200
89,2.0314999711401985e-05,8.70974111174615e-06,1.1605258599655836e-05,0.5712655064987412,8,200,200
90,1.4443338160937602e-05,6.908377998380934e-06,7.5349601625566675e-06,0.5216910438983677,8,200,200
95,1.74925054895162e-05,8.646724455688876e-06,8.845781033827324e-06,0.5056897674909334,8,200,200
99,1.5769826892720848e-05,8.066790031125484e-06,7.703036861595364e-06,0.4884667989063969,8,200,200
100,1.7755304236969244e-05,9.903333749000033e-06,7.851970487969211e-06,0.442232382119379,8,200,200
105,1.5909497987877026e-05,8.836760981901135e-06,7.072737005975891e-06,0.44456066504205777,8,200,200
109,1.841689333543339e-05,8.494972545267832e-06,9.921920790165558e-06,0.5387401995251917,8,200,200
110,1.439337332498007e-05,7.864155598579607e-06,6.529217726400463e-06,0.4536266501938665,8,200,200
115,1.5856134706941973e-05,7.5353188027573795e-06,8.320815904184594e-06,0.5247695013931521,8,200,200
119,1.9894841420325877e-05,1.131597351267818e-05,8.578867907647697e-06,0.43121067046470457,8,200,200
120,1.5121169038904959e-05,6.9149622464235075e-06,8.206206792481451e-06,0.5426965845939467,8,200,200
125,1.735672813193164e-05,9.302519773939008e-06,8.05420835799263e-06,0.4640395526605667,8,200,200
129,1.5473790982171382e-05,6.391416735171881e-06,9.082374246999502e-06,0.5869521087278513,8,200,200
130,1.584929577588776e-05,8.771976896685437e-06,7.0773188792023235e-06,0.44653838121750267,8,200,200
135,1.4080008875655293e-05,7.397233793772513e-06,6.68277508188278e-06,0.47462861287235936,8,200,200
139,1.532981769961774e-05,7.392961883268871e-06,7.936855816348867e-06,0.5177397391064069,8,200,200
140,1.4653967855837711e-05,7.392172105711794e-06,7.261795750125917e-06,0.4955514998781051,8,200,200
145,1.6092929849494522e-05,8.666729609514167e-06,7.426200239980355e-06,0.46145731755697744,8,200,200
149,1.624275959682794e-05,7.1298099634189465e-06,9.112949633408994e-06,0.5610468824022162,8,200,200
150,1.6274582992698957e-05,8.935358338575694e-06,7.3392246541232634e-06,0.4509623784164399,8,200,200
155,1.4872419787211742e-05,7.73631949666947e-06,7.1361002905422715e-06,0.4798210642681258,8,200,200
159,1.737767027348023e-05,8.318631534684386e-06,9.059038738795843e-06,0.5213034081225888,8,200,200
160,1.6696592314625723e-05,8.865267266884389e-06,7.831325047741334e-06,0.4690373281068451,8,200,200
165,1.6546984707626122e-05,8.414899264234066e-06,8.132085443392056e-06,0.4914542188247848,8,200,200
169,1.4348387286945e-05,7.334153379334291e-06,7.014233907610709e-06,0.48885172718976355,8,200,200
170,1.5900980751100436e-05,7.880014680289655e-06,8.02096607081078e-06,0.504432160277641,8,200,200
175,1.64184087370129e-05,7.83480826908298e-06,8.583600467929918e-06,0.5228034339636976,8,200,200
179,1.3498282820052032e-05,6.622104610134805e-06,6.876178209917227e-06,0.509411330432527,8,200,200
180,1.6581499391192322e-05,8.013224005564048e-06,8.568275385628274e-06,0.5167370684329987,8,200,200
185,1.659290452157667e-05,8.479424575083922e-06,8.113479946492749e-06,0.4889728580033919,8,200,200
189,1.4112332572432379e-05,7.30183384612765e-06,6.810498726304729e-06,0.48259199472159847,8,200,200
190,1.540047532525442e-05,7.451439627836567e-06,7.949035697417852e-06,0.5161552179095831,8,200,200
195,1.5766716357080752e-05,7.997384555309833e-06,7.769331801770919e-06,0.4927679058729151,8,200,200
199,1.562254542232203e-05,7.499627893550188e-06,8.122917528771842e-06,0.5199484020808502,8,200,200
