iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999754590034418,0.9999754590034418,4.302916545008883e-06,20,4096,7.5e-05,1.0062245130319998,3.0400517603997868,2.7118543807117744e-24,5.443634655830526,4.398127287713034,5.220253452020671,10.0,1.0
9,0.9999731417328988,0.9999731417328988,4.033800535447669e-06,20,4096,7.5e-05,1.0179007684556993,3.0584855427749633,5.684930769167375e-26,5.442886148168732,4.347836820185523,5.219070155679232,10.0,1.0
10,0.9999724084024321,0.9999724084024321,3.2169863643320593e-06,20,4096,7.5e-05,0.9953090666266576,2.9671799387027136,1.3699745186036842e-23,5.444290185755385,4.31332585807403,5.192035513237967,10.0,1.0
15,0.9999718720911824,0.9999718720911824,3.0771968942460676e-06,20,4096,7.5e-05,0.9862658386000209,2.9386205353329364,8.910364279330032e-19,5.443206807067337,4.304484549533586,5.196408834019119,10.0,1.0
19,0.9999746386295951,0.9999746386295951,3.032517401849562e-06,20,4096,7.5e-05,0.9984266031479709,2.991630007837918,1.3527771470475669e-20,5.4443019626283995,4.313691676476086,5.197886564555547,10.0,1.0
20,0.999974143195423,0.999974143195423,4.572777659293459e-06,20,4096,7.5e-05,0.9893470080723661,2.9578256272697403,9.202459796893034e-19,5.444009050541372,4.320730847577086,5.212160378885447,10.0,1.0
25,0.9999747843758318,0.9999747843758318,4.371911974650941e-06,20,4096,7.5e-05,1.0018892389297072,3.0061586646808927,4.7957377761089695e-23,5.442100649697366,4.3547696504215265,5.198282565883461,10.0,1.0
29,0.9999737305658709,0.9999737305658709,9.513639453512577e-07,20,4096,7.5e-05,0.9920785172919714,2.964058842028625,5.665034114773101e-20,5.443560312166934,4.30167366644846,5.207953535129875,10.0,1.0
30,0.9999734585278384,0.9999734585278384,8.519283016868558e-06,20,4096,7.5e-05,0.9827483763982539,2.9205380474942295,4.7013437439638944e-20,5.44428192221648,4.285016544295066,5.178316304428259,10.0,1.0
35,0.9999746310686768,0.9999746310686768,4.903710454044149e-06,20,4096,7.5e-05,1.014707512360935,3.0576822054900488,2.12209146998969e-19,5.444057028092292,4.375516463720036,5.222672070572136,10.0,1.0
39,0.9999727626257807,0.9999727626257807,4.471454573607836e-06,20,4096,7.5e-05,1.0064350118427008,3.0101802055849185,3.2772121409685787e-21,5.444399078255802,4.343532452776337,5.22552323152518,10.0,1.0
40,0.9999734437269616,0.9999734437269616,4.514247807451612e-06,20,4096,7.5e-05,0.997949408121678,2.9950557352250553,1.127136067236664e-19,5.4434734623666925,4.3348294696766585,5.218705336549697,10.0,1.0
45,0.9999722875641184,0.9999722875641184,5.973844283264226e-06,20,4096,7.5e-05,0.9983269305765939,2.9920799896177153,1.0155157017300789e-26,5.442757629783166,4.3357654617538515,5.194765120000867,10.0,1.0
49,0.99997241093017,0.99997241093017,2.8320486964656096e-06,20,4096,7.5e-05,1.0193828906935867,3.067738192310804,1.3758338683518e-23,5.444319571802143,4.36689008749833,5.207581096715456,10.0,1.0
50,0.9999729818579082,0.9999729818579082,4.201602342744714e-06,20,4096,7.5e-05,0.9978209435147525,2.982003435365497,3.497222554882689e-22,5.444236226478698,4.345886661359368,5.208365445019827,10.0,1.0
55,0.999970580812854,0.999970580812854,1.0637479368658412e-05,20,4096,7.5e-05,0.9969353029125612,2.9882899688791373,1.1819279492706416e-24,5.444421194126863,4.366116516415013,5.193327963799903,10.0,1.0
59,0.9999717582050301,0.9999717582050301,6.9990825718010204e-06,20,4096,7.5e-05,0.9952166538798688,2.972372447488902,1.4072508532517809e-19,5.443270384080631,4.307192282393082,5.210741677409583,10.0,1.0
60,0.9999722510554752,0.9999722510554752,1.9170552600029453e-06,20,4096,7.5e-05,1.0094067852688777,3.0414218158267254,1.076102075396568e-20,5.4443104992883065,4.373545412588096,5.2147550726545875,10.0,1.0
65,0.9999722528472055,0.9999722528472055,4.087367517350945e-06,20,4096,7.5e-05,0.9890689961646522,2.969230090564137,7.908505529994393e-19,5.444229286089757,4.309586480535779,5.218217830963403,10.0,1.0
69,0.999974385917444,0.999974385917444,4.035538302804022e-06,20,4096,7.5e-05,0.9963070866170631,3.0155999943811445,3.449593309431018e-20,5.44256701587774,4.394440662919452,5.237492674208037,10.0,1.0
70,0.9999733587858126,0.9999733587858126,4.411351919377776e-06,20,4096,7.5e-05,0.9943833873906549,2.973840492616397,5.893791538524665e-28,5.444370722242547,4.327829597205109,5.210217305948471,10.0,1.0
75,0.9999746503641707,0.9999746503641707,3.44844056822744e-06,20,4096,7.5e-05,0.9993702424675872,2.999355251582275,1.568319198035433e-20,5.443216263173901,4.330451706230134,5.203841820410295,10.0,1.0
79,0.9999743725072597,0.9999743725072597,6.196984678221733e-06,20,4096,7.5e-05,1.0052852818061138,3.0056524095499855,3.2039670350936416e-21,5.444271405766126,4.319117745765098,5.20626559903826,10.0,1.0
80,0.9999755897647444,0.9999755897647444,3.604609167851566e-06,20,4096,7.5e-05,1.0116586915371877,3.039854092618175,3.609859485275536e-21,5.444428156324685,4.349144561149903,5.19091945809243,10.0,1.0
85,0.9999688866021894,0.9999688866021894,9.362947477360042e-06,20,4096,7.5e-05,0.9909456654213367,2.9497619519662255,6.237490047574635e-26,5.443615539588941,4.320399870336688,5.201083347152327,10.0,1.0
89,0.9999696411406732,0.9999696411406732,9.002051565912984e-06,20,4096,7.5e-05,0.994488856437319,2.9600286886391496,7.765455546822943e-21,5.443507108206981,4.322938348432354,5.189484509333096,10.0,1.0
90,0.9999721259638495,0.9999721259638495,4.928099588587859e-06,20,4096,7.5e-05,1.0094571532023342,3.031038725341026,3.046358211818326e-20,5.443944899599412,4.349174625229651,5.225768082078017,10.0,1.0
95,0.9999758954805641,0.9999758954805641,3.0772776492463577e-06,20,4096,7.5e-05,0.9952300251526225,2.991484563429582,3.56606300057453e-22,5.444340943813175,4.343059941234769,5.2213209688816935,10.0,1.0
99,0.9999720211181156,0.9999720211181156,6.540257411494497e-06,20,4096,7.5e-05,1.0024081970798229,3.014518908890798,3.0548449037849235e-25,5.443791231408005,4.347200827629297,5.205891574805253,10.0,1.0
100,0.9999744375077325,0.9999744375077325,2.92066051144795e-06,20,4096,7.5e-05,1.004100547771721,3.0187447555233424,6.0170318726915e-21,5.4443138817645504,4.328936970820835,5.18737272913024,10.0,1.0
105,0.999973455209205,0.999973455209205,3.91630205791651e-06,20,4096,7.5e-05,1.0113139853374862,3.048351520187938,1.4262442147092377e-21,5.444065417877763,4.38401650503873,5.198003133503843,10.0,1.0
109,0.9999730248757548,0.9999730248757548,6.210822863273446e-06,20,4096,7.5e-05,1.0022855093377863,3.0142518074902025,1.3352077742011493e-22,5.444309119674915,4.337594197988563,5.2084752318817005,10.0,1.0
110,0.9999729870827005,0.9999729870827005,4.923598167378765e-06,20,4096,7.5e-05,0.9919550467770416,2.975394062862981,1.9774175835628045e-24,5.444100132378059,4.331803401592273,5.200333291699222,10.0,1.0
