iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.999998167994568,0.999998167994568,3.09786719727731e-07,20,4096,6.25e-06,0.8798260833171343,2.0721151818180346,0.34028529132771096,10.0,2.4310533859887298,7.086838993272511,10.0,1.0
9,0.9999980667198531,0.9999980667198531,1.732333962934565e-07,20,4096,6.25e-06,0.8784594890962678,2.0599733464733543,0.3402922370108604,10.0,2.438458784673256,6.99312903993185,10.0,1.0
10,0.999998113348473,0.999998113348473,1.834473021461709e-07,20,4096,6.25e-06,0.8798491906888781,2.0675575768570216,0.3402792089162973,10.0,2.4146383421114206,6.966459621065593,10.0,1.0
15,0.9999979945332167,0.9999979945332167,1.589233351854813e-07,20,4096,6.25e-06,0.8843300398082066,2.066420362327322,0.3402892614125493,10.0,2.484642950872119,6.8752231428765604,10.0,1.0
19,0.9999981073139651,0.9999981073139651,3.005005686960631e-07,20,4096,6.25e-06,0.8886014881385228,2.1031382471297406,0.3402790997336645,10.0,2.529188961535469,7.001421587920824,10.0,1.0
20,0.9999980782993148,0.9999980782993148,2.8106646616544566e-07,20,4096,6.25e-06,0.8879476935399075,2.0961716981481495,0.34028181745865976,10.0,2.467921886206917,7.10277951515033,10.0,1.0
25,0.9999980410540538,0.9999980410540538,4.2627398493967005e-07,20,4096,6.25e-06,0.8889497839701116,2.152372242413924,0.34029952686418946,10.0,2.498628367331964,7.44970895342789,10.0,1.0
29,0.9999980063734467,0.9999980063734467,2.7105460257162987e-07,20,4096,6.25e-06,0.8842546509679554,2.081625807983211,0.34028598102608354,10.0,2.444645457944392,7.037270013257827,10.0,1.0
30,0.9999979560252765,0.9999979560252765,6.254603440871018e-07,20,4096,6.25e-06,0.8896681960618503,2.1115199589437044,0.3402792854971362,10.0,2.480853386063509,7.128804844888865,10.0,1.0
35,0.999997792891318,0.999997792891318,4.379877432588134e-07,20,4096,6.25e-06,0.8889468634391968,2.1334577371197727,0.3402813717948791,10.0,2.5173290047609975,7.118746078440532,10.0,1.0
39,0.9999981132161819,0.9999981132161819,2.401725721611336e-07,20,4096,6.25e-06,0.8823322665364772,2.09733764879195,0.3402781988322018,10.0,2.470673526344267,7.178910520575066,10.0,1.0
40,0.9999979393091769,0.9999979393091769,2.7280467673159567e-07,20,4096,6.25e-06,0.8941584121331159,2.1476376014711214,0.3402867869445227,10.0,2.503292520697868,7.218244133653638,10.0,1.0
45,0.9999979224893408,0.9999979224893408,4.6939729916002507e-07,20,4096,6.25e-06,0.8870303209323767,2.1211437054176097,0.34029343026515824,10.0,2.4753969647552525,7.290478422731716,10.0,1.0
49,0.9999979626762386,0.9999979626762386,2.4050101545590664e-07,20,4096,6.25e-06,0.8819279657137316,2.108686498487091,0.3402789360064671,10.0,2.4338669913633657,7.225011551969063,10.0,1.0
50,0.9999978172301257,0.9999978172301257,3.143523196151571e-07,20,4096,6.25e-06,0.88626846376666,2.1006767758971483,0.3402797094673156,10.0,2.4717191027645087,7.042969865329472,10.0,1.0
55,0.9999978127793245,0.9999978127793245,6.368178612517919e-07,20,4096,6.25e-06,0.8848208967916058,2.0849910600027783,0.34027799354941457,10.0,2.48837010759967,7.0269049551718155,10.0,1.0
59,0.9999979119283039,0.9999979119283039,5.48353579562542e-07,20,4096,6.25e-06,0.8950870428247583,2.1836077946617927,0.3402886701739597,10.0,2.494135132032848,7.357596734779354,10.0,1.0
60,0.9999979866432647,0.9999979866432647,2.691658842149856e-07,20,4096,6.25e-06,0.8780779220030803,2.0404444379460074,0.3402790204470332,10.0,2.449670253668237,6.922441377064815,10.0,1.0
65,0.9999980318619925,0.9999980318619925,2.4176654085440676e-07,20,4096,6.25e-06,0.8846882933050086,2.049286559116433,0.34027977412260485,10.0,2.414298437932153,6.849769183179043,10.0,1.0
69,0.9999980749139658,0.9999980749139658,3.7266076623515946e-07,20,4096,6.25e-06,0.8852843503491615,2.082158403097766,0.34029520006025016,10.0,2.428979089224079,7.126411829340495,10.0,1.0
70,0.9999981314616573,0.9999981314616573,2.2887166676873626e-07,20,4096,6.25e-06,0.8865805798203066,2.1187127285067753,0.34027846177777743,10.0,2.4747154737483585,7.2625028738367625,10.0,1.0
75,0.9999979661115658,0.9999979661115658,3.0012637789040475e-07,20,4096,6.25e-06,0.8833152018237163,2.096925642118043,0.34028917417569776,10.0,2.4033634330593556,7.047795071632069,10.0,1.0
79,0.9999980363122987,0.9999980363122987,6.941155275829867e-07,20,4096,6.25e-06,0.8732473223290347,1.9875938527862533,0.3402793833521774,10.0,2.3861483167555235,6.561307458247941,10.0,1.0
80,0.9999982619832131,0.9999982619832131,2.1683676979096453e-07,20,4096,6.25e-06,0.8876386323377194,2.1061870561644866,0.3402779288619276,10.0,2.499115593409305,7.029232273615883,10.0,1.0
85,0.9999976646294597,0.9999976646294597,8.049182048512062e-07,20,4096,6.25e-06,0.8924220223867753,2.1532587812696744,0.3402854687595744,10.0,2.475988390365259,7.346577680778871,10.0,1.0
89,0.9999977704722547,0.9999977704722547,6.09016241757507e-07,20,4096,6.25e-06,0.8814239970396127,2.0831148154624284,0.34028647371161935,10.0,2.4117367442528455,7.022105839185356,10.0,1.0
90,0.9999978475604512,0.9999978475604512,5.03750033100229e-07,20,4096,6.25e-06,0.8856366917534533,2.1357372738387808,0.3402824131513385,10.0,2.4579446668228124,7.420134298983323,10.0,1.0
95,0.9999981578823444,0.9999981578823444,2.520302427944884e-07,20,4096,6.25e-06,0.8785228923150675,2.01473996343522,0.34027873840470363,10.0,2.4587454699975697,6.603900525562421,10.0,1.0
99,0.9999979078756975,0.9999979078756975,4.140816948825788e-07,20,4096,6.25e-06,0.8786618843609213,2.0400137392772772,0.34028383764284575,10.0,2.421667142576161,6.960099598767018,10.0,1.0
100,0.9999981420252954,0.9999981420252954,1.1934646542110135e-07,20,4096,6.25e-06,0.8795218420183548,2.0545981981465946,0.3402789887603131,10.0,2.4355731358733363,7.015107905512915,10.0,1.0
105,0.9999981114647307,0.9999981114647307,2.1501424987316836e-07,20,4096,6.25e-06,0.8885789721109999,2.1428506141623234,0.34028129427442144,10.0,2.5002494144924823,7.369479414425881,10.0,1.0
109,0.9999979417598411,0.9999979417598411,4.6176402280367974e-07,20,4096,6.25e-06,0.8831002744440266,2.0617577447046007,0.34027903270421234,10.0,2.452036219687865,6.950711865105654,10.0,1.0
110,0.9999977618725141,0.9999977618725141,4.7519995230714977e-07,20,4096,6.25e-06,0.8915078170347908,2.166099101163942,0.34028097261708806,10.0,2.468307091251932,7.454392441763633,10.0,1.0
115,0.9999979601525453,0.9999979601525453,3.360920372093074e-07,20,4096,6.25e-06,0.872310677539407,1.9971575407126205,0.3402820393120854,10.0,2.4252167417555817,6.635124636365457,10.0,1.0
119,0.9999977590909779,0.9999977590909779,5.045657207077128e-07,20,4096,6.25e-06,0.8833245846930665,2.0702958711514006,0.34028675786133744,10.0,2.4084880428554585,6.933494739957129,10.0,1.0
120,0.9999982339289692,0.9999982339289692,1.6118358472803583e-07,20,4096,6.25e-06,0.8858545724806893,2.1018416043262684,0.3402849074736533,10.0,2.471762262050886,7.030680163505094,10.0,1.0
125,0.9999980684393339,0.9999980684393339,4.7229285806335107e-07,20,4096,6.25e-06,0.8922915662872137,2.176832230137368,0.34028300054472,10.0,2.422245954360939,7.593333501558934,10.0,1.0
129,0.9999979644341174,0.9999979644341174,2.3032837414380793e-07,20,4096,6.25e-06,0.8896316055649556,2.126414680847256,0.34028035929184774,10.0,2.504473854078556,7.022004375414764,10.0,1.0
130,0.9999981329287408,0.9999981329287408,2.0472787829302405e-07,20,4096,6.25e-06,0.8764992193456812,2.0607226223475545,0.3403037091236768,10.0,2.4150490061902485,6.9801174328401,10.0,1.0
135,0.9999980285677708,0.9999980285677708,3.774365441405067e-07,20,4096,6.25e-06,0.8836547306041309,2.082265559066067,0.3402809577507386,10.0,2.4269832207746247,7.054016311968605,10.0,1.0
139,0.9999980460828211,0.9999980460828211,2.4366324605059203e-07,20,4096,6.25e-06,0.8903254658171695,2.1203081428093493,0.3402975847986882,10.0,2.4890995246075422,6.988570307966673,10.0,1.0
140,0.9999978788726154,0.9999978788726154,4.0103078207139404e-07,20,4096,6.25e-06,0.8802586212120145,2.07408821564712,0.340279331082442,10.0,2.415633564249759,6.897765677720931,10.0,1.0
145,0.999997886206129,0.999997886206129,4.6009330749952986e-07,20,4096,6.25e-06,0.8884424126841475,2.1615026782251117,0.3402820743615172,10.0,2.4478036761206887,7.517884528848861,10.0,1.0
149,0.9999978268331059,0.9999978268331059,5.585137979986122e-07,20,4096,6.25e-06,0.8865884503433901,2.1242725644369638,0.3402791276991293,10.0,2.4624531077538143,7.191923863800721,10.0,1.0
150,0.9999980018744952,0.9999980018744952,4.975811208559978e-07,20,4096,6.25e-06,0.8798417824708025,2.04012522731094,0.34028894101885293,10.0,2.44185309384195,6.747982402179561,10.0,1.0
155,0.9999979439149367,0.9999979439149367,3.856298027924838e-07,20,4096,6.25e-06,0.8887663241428321,2.1424678811038538,0.3402796867319639,10.0,2.459904697013462,7.329302257534673,10.0,1.0
