iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.734058675492508e-05,0.013945700512347618,7.224229356077632e-16,1.0167883087800882,3.1161512090041588,1.0167883087800882,3.1161512090041597,1.0167883087800882,3.1161512090041588,7.088844913147904e-16,5.437464121047119,4.5371340632308375,5.2486150668899025,20.58558604740517,27.547960551486565,29.56601606767472,0.0,0.0,0.0,0.0,-0.0005934541798476426,0.0041216985444530565,0.002464450246492892,0.0042003825011265135,0.024475903778543952,4.581685654343395,1.013630086793958e-06,1.1978293908038314e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.6955100740959817e-05,0.01394569014476493,9.482442713701692e-16,0.9737596106814316,2.8102970875852087,0.9737596106814317,2.8102970875852087,0.9737596106814316,2.8102970875852087,5.717371101523207e-17,5.444434223610532,4.137656125407125,5.178518358322885,17.120201759168392,26.817055329715696,29.641864015221618,0.0,0.0,0.0,0.0,-0.0007170321340181873,0.004054746066000329,0.002288639075599707,0.004718800837720503,0.021338042965900396,4.5816854971349645,1.0205704082750191e-06,8.501078248506226e-06,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.643529069472073e-05,0.0139456757822203,1.051693331218719e-15,0.9948167872158133,2.9760776691394404,0.9948167872158133,2.9760776691394404,0.9948167872158133,2.9760776691394404,2.789700787939127e-19,5.43044596895762,4.349612995640844,5.219102396037124,18.919151695729134,27.239030409592417,29.48974342176806,0.0,0.0,0.0,0.0,-0.0007001082952724234,0.003993136495239234,0.0023962214968856073,0.004048846539434949,0.023918327913843514,4.58168530473721,1.044714312002488e-06,1.2336893695843165e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.6748834829718575e-05,0.013945659543386793,9.032747237363012e-16,1.0265407176681263,3.124050351569193,1.0265407176681263,3.124050351569192,1.0265407176681263,3.124050351569193,6.465854640124326e-18,5.440564906649669,4.436084790430865,5.209925675514984,19.67885254074725,27.14332556113776,29.599746503467923,0.0,0.0,0.0,0.0,-0.0006923140076079379,0.004033551306800053,0.002426163704621879,0.00379260455761962,0.022525174203175388,4.58168507806896,1.0879142943320797e-06,1.479611593606783e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.589174712390688e-05,0.013945644743886109,1.4001585287050595e-15,0.9936716316015444,3.0011457810345505,0.9936716316015444,3.0011457810345505,0.9936716316015444,3.0011457810345505,5.617737734905677e-16,5.435059330485066,4.324980249573455,5.213765638164465,18.705454159418004,27.183352315596288,29.539869925892773,0.0,0.0,0.0,0.0,-0.0006025338279194474,0.003940647168945682,0.0025971195833110507,0.004440844760448083,0.02497356103926888,4.58168487568507,1.3099194830571885e-06,1.2547225726556786e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.7553149512771937e-05,0.01394562988725392,2.579061982841494e-15,0.9619625123176502,2.754338033645043,0.9619625123176502,2.754338033645043,0.9619625123176502,2.754338033645043,7.477476027531677e-19,5.43066805339799,4.118162375387685,5.110333526092444,16.959261938987428,26.115508754998466,29.492155506197513,0.0,0.0,0.0,0.0,-0.0007375142737209543,0.004124223831077769,0.002271974539289359,0.004674456904122167,0.025264680832583073,4.581684723281031,1.3991478186708748e-06,1.3056305485340864e-05,0.026745214121465122,0.0,0.0,0.9999978886609459,0.005639030993156324,0.2439852756730617,0.8782691901621624,0.5474716767721077,7.716484470979725e-06,9.836665041792212e-06,0.5603931667439456
6,1.5096252625808955e-05,0.013945614440817489,1.6766454296108269e-15,0.9708438995947418,2.8948230460944746,0.9708438995947418,2.8948230460944746,0.9708438995947418,2.8948230460944746,2.750440306464873e-19,5.434807216068624,4.3554630865706345,5.217135971682424,18.970059167087307,27.218507987552087,29.537129475831584,0.0,0.0,0.0,0.0,-0.0007094490364215942,0.003820069985030304,0.0021000640542941664,0.004306357829996833,0.02573871547416116,4.581684527665558,1.0754268754058468e-06,1.3171775216285899e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.5948726185550448e-05,0.01394560068096757,1.251216533563918e-15,1.0079407777067693,3.0317396568443407,1.0079407777067693,3.031739656844341,1.0079407777067693,3.0317396568443407,3.0413099156161585e-15,5.442007354974467,4.407853662637826,5.165715410534028,19.42917588534607,26.684615992781282,29.615444051596196,0.0,0.0,0.0,0.0,-0.0007456235400257858,0.003923362298094564,0.0023497366853824963,0.004229902341541209,0.008020813467073153,4.581684272453002,1.2710507204618815e-06,1.1772852734236965e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.732291799918165e-05,0.013945587174307019,1.428958903410972e-15,0.9933193185246658,2.942668180096119,0.9933193185246658,2.942668180096119,0.9933193185246658,2.942668180096119,2.823234042375249e-21,5.4416474053743755,4.3363211471402305,5.197041960301545,18.80368578879987,27.009245165359815,29.611526484417674,0.0,0.0,0.0,0.0,-0.0007876338080621311,0.004086875454865146,0.0022959341434753825,0.004142146131755527,0.017417520106369877,4.581684138352654,1.1028731096751041e-06,1.195583277832697e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5831809222354007e-05,0.013945574127290205,2.0503482169275144e-15,0.9862158957653142,3.041981373590795,0.9862158957653142,3.041981373590795,0.9862158957653142,3.041981373590795,1.8562016971195645e-16,5.442243212811132,4.404214630085734,5.2637825517326995,19.397106615165484,27.70741893285604,29.61801118738883,0.0,0.0,0.0,0.0,-0.0008063058477390247,0.0038963675522537475,0.0020836907208485753,0.004366059385510282,0.022500174832565226,4.581683978781573,1.3473570423918246e-06,9.750012999228621e-06,0.020648588998433776,0.009487686648226152,1.0,0.9999976649205741,0.009230224943905907,0.32488533817917914,0.8782691901621626,0.514351701374834,7.746015578120943e-06,8.085793644233064e-06,0.5107308666160645
