iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.026745214121465122,0.0,0.0,False,2000,4096,1e-07,0.9989587263765777,3.015406903278883,7.770453297100469e-20,5.443515985110948,4.3926564133719355,5.197635379379986,10.0,1.0
9,0.020648588998433776,0.009487686648226152,1.0,False,2000,4096,1e-07,0.9560278512962862,2.8091883669872413,3.344107942365343e-17,5.443442823354903,4.213498901544856,5.214318911110216,10.0,1.0
10,0.020545513640672808,0.006701603074258002,1.0,False,2000,4096,1e-07,1.003686081433953,2.9716638484405387,2.0098991227389324e-16,5.437271468296228,4.313302066593634,5.136699420592733,10.0,1.0
15,0.020068078092532502,0.006382558364126383,1.0,False,2000,4096,1e-07,1.0068322518978068,3.044041739483726,4.608999029639435e-17,5.4397580614684555,4.38522642407802,5.259566820311455,10.0,1.0
19,0.020744904307077514,0.0064575574486647165,1.0,False,2000,4096,1e-07,0.9906681278374854,2.956892987810562,8.356917229223013e-19,5.443888905301175,4.329473109721176,5.182610129783278,10.0,1.0
20,0.018238397768246147,0.007398121575505381,1.0,False,2000,4096,1e-07,0.980151645768106,2.9367168890952677,2.501432481173684e-22,5.440655091594584,4.274256767287656,5.160221382716042,10.0,1.0
25,0.02810076044157872,0.012439685634180955,1.0,False,2000,4096,1e-07,0.9744739011957749,2.901005017014512,1.871051865039074e-21,5.438616901938788,4.3079405793487755,5.1959721605984726,10.0,1.0
29,0.021422891336793388,0.009243009787605987,1.0,False,2000,4096,1e-07,1.0240509318567566,3.0670340061709807,4.059748021460605e-16,5.437276000822448,4.372152191822181,5.246473099777524,10.0,1.0
30,0.022528620464606124,0.006480241415802126,1.0,False,2000,4096,1e-07,0.9864017836173631,2.9650907716384696,4.505908196037856e-21,5.442658998877466,4.273232679180092,5.25997914482292,10.0,1.0
35,0.015486637036816324,0.00917552514224845,1.0,False,2000,4096,1e-07,1.0145897929382612,3.0957482016511677,2.755341921951213e-16,5.432211740604697,4.416539216337454,5.2452984080087,10.0,1.0
39,0.024126879897686714,0.01076017263516905,1.0,False,2000,4096,1e-07,0.996100675835166,3.0276625638830286,6.162406812666711e-15,5.44224831944745,4.3800044080023675,5.171618332140474,10.0,1.0
40,0.026529750040890077,0.0072412734796588225,1.0,False,2000,4096,1e-07,0.9846495421176711,2.9407915428022164,2.1350513934749e-20,5.4304653549944755,4.338712351468464,5.1761793683533615,10.0,1.0
45,0.023035618253574443,0.00794849481149289,1.0,False,2000,4096,1e-07,0.9535362566485132,2.8109507032770367,1.4417919430096914e-18,5.442470297740353,4.224692099885907,5.209161135558015,10.0,1.0
49,0.019737285892622976,0.007535570938367204,1.0,False,2000,4096,1e-07,0.9942803769980534,2.976591537246901,1.266324035241804e-15,5.4368060298391185,4.330320995725716,5.219258196264647,10.0,1.0
50,0.01432029621444449,0.008272504383720153,1.0,False,2000,4096,1e-07,0.9828505556292435,2.944007254160059,2.0581228726249487e-14,5.424752079234445,4.288423351682236,5.198848772069622,10.0,1.0
55,0.025377025113351843,0.012888978934028555,1.0,False,2000,4096,1e-07,1.0043586442157233,2.9886830867771783,7.85671231911886e-17,5.439250980140082,4.324636398035256,5.170833180672169,10.0,1.0
59,0.019875470014101854,0.009053532604965669,1.0,False,2000,4096,1e-07,0.9686155470162909,2.8573011540561533,1.3940867739716595e-14,5.429965868878575,4.229786048934429,5.135215867429232,10.0,1.0
60,0.023801435835115098,0.00789993813274495,1.0,False,2000,4096,1e-07,1.0035394627778211,3.0455290667334354,1.1878441993428717e-17,5.443835283542022,4.3437963254942185,5.249320974051027,10.0,1.0
65,0.02320383576775987,0.006942393880749073,1.0,False,2000,4096,1e-07,1.027743212467564,3.1180459778842438,5.8912942331200525e-15,5.422567550025847,4.425723353300991,5.227775921443512,10.0,1.0
69,0.021778114809830624,0.0065996116543127654,1.0,False,2000,4096,1e-07,1.0005443486819663,2.9680551290189134,1.0497393094690655e-19,5.439469713537884,4.282803151703037,5.185775550203707,10.0,1.0
70,0.021501456934999566,0.006785400397778674,1.0,False,2000,4096,1e-07,0.9507652340850321,2.828675705422781,3.3655943758390265e-16,5.4428991907068305,4.255279745599703,5.218948413602535,10.0,1.0
75,0.02496474671268958,0.007667067967164868,1.0,False,2000,4096,1e-07,0.9839047654457532,2.8538654340061442,4.4290513459383255e-17,5.440308355081086,4.229670325909311,5.148480782552285,10.0,1.0
79,0.020892086125256205,0.008229765054254741,1.0,False,2000,4096,1e-07,1.0233366653759022,3.124666053130774,1.8291860104904124e-17,5.43534354060835,4.431830058436303,5.206459596710937,10.0,1.0
80,0.02043335167981727,0.0064916680608993315,1.0,False,2000,4096,1e-07,0.9820675522089084,2.8900926820212836,4.496826898795655e-19,5.442120559125809,4.240560244392953,5.1317910405977685,10.0,1.0
85,0.02334898238725513,0.007244845394714324,1.0,False,2000,4096,1e-07,0.9893909814566886,2.97005444630309,5.281357926254718e-16,5.441599627162828,4.350852016740995,5.2279809884121375,10.0,1.0
89,0.024101362895234207,0.0070263461084789725,1.0,False,2000,4096,1e-07,0.9906348138048215,3.056104155608047,5.068048798661614e-19,5.442252124763787,4.4504815025344,5.226180372193127,10.0,1.0
90,0.020859461164462575,0.007695965603277797,1.0,False,2000,4096,1e-07,1.0201151612647186,3.0313339021870718,3.30330865463836e-15,5.442002277978854,4.310627384203006,5.2359227635428836,10.0,1.0
95,0.019965517170408065,0.006155713073608451,1.0,False,2000,4096,1e-07,1.021705572855654,3.0733621718523834,4.3159122627164014e-16,5.441987708955886,4.414216130906236,5.238397989161078,10.0,1.0
99,0.02840592673533694,0.011033166419001041,1.0,False,2000,4096,1e-07,0.9896099015896476,2.949113166998269,1.5924252192233267e-17,5.442090379765609,4.305258478953464,5.183068863109807,10.0,1.0
100,0.03126788229659438,0.008457534612402742,1.0,False,2000,4096,1e-07,1.0205673968892357,3.095413834825268,5.234394352841597e-21,5.436696883421209,4.396660975784785,5.200707577636022,10.0,1.0
105,0.029701921399349025,0.00818980354869448,1.0,False,2000,4096,1e-07,1.018193932585838,3.062611009614921,1.542276355200525e-18,5.443092231054021,4.323446087101704,5.150344462279466,10.0,1.0
109,0.026682353225193325,0.008492023384335566,1.0,False,2000,4096,1e-07,0.9784550239633454,2.8894332165021153,1.4320354812534504e-16,5.443119049174593,4.215432094802083,5.17709264063022,10.0,1.0
110,0.02805390097131094,0.007889334544497827,1.0,False,2000,4096,1e-07,1.0141016709061252,3.0520456744708793,2.539420940694413e-21,5.422505130213528,4.372968113086802,5.200578238426545,10.0,1.0
115,0.020433878154942985,0.010101746653743663,1.0,False,2000,4096,1e-07,0.9732793439039533,2.8876740928888314,4.8464179171948166e-17,5.4427984574933195,4.330139087090572,5.192814199190997,10.0,1.0
