iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999978886609459,0.9999978886609459,4.3139656407025756e-07,20,4096,6.25e-06,1.0062245137019643,3.040051764648554,2.7118525769919044e-24,5.443634652915528,4.398127359165542,5.220253310103331,10.0,1.0
9,0.9999976649205741,0.9999976649205741,3.839196743989418e-07,20,4096,6.25e-06,1.0179007690856516,3.0584855462623137,5.684933585310426e-26,5.44288615900101,4.347837080840052,5.219070186774618,10.0,1.0
10,0.9999976069830965,0.9999976069830965,3.1335307914405297e-07,20,4096,6.25e-06,0.9953090661000603,2.967179935316268,1.369973300742115e-23,5.444290184939161,4.31332571842855,5.192035544558702,10.0,1.0
15,0.999997557419529,0.999997557419529,3.027567597106597e-07,20,4096,6.25e-06,0.9862658403794468,2.9386205478252534,8.91037077891805e-19,5.443206790004494,4.304484554663839,5.196409209494753,10.0,1.0
19,0.9999978193668606,0.9999978193668606,2.796711375733376e-07,20,4096,6.25e-06,0.9984266029173355,2.991630013751909,1.3527832988445602e-20,5.444301953095127,4.313690936679407,5.197886453729111,10.0,1.0
20,0.999997772327665,0.999997772327665,4.4492970381199843e-07,20,4096,6.25e-06,0.9893470042176135,2.957825600064813,9.202443669883574e-19,5.444009030745929,4.320731031753047,5.2121601719518,10.0,1.0
25,0.9999977656771588,0.9999977656771588,5.182245779191978e-07,20,4096,6.25e-06,1.001889239171719,3.0061586733260146,4.795719377207691e-23,5.442100697046059,4.354769637538378,5.198282619076259,10.0,1.0
29,0.9999977369391133,0.9999977369391133,8.232993970362774e-08,20,4096,6.25e-06,0.9920785124923215,2.9640588084993063,5.665049143720278e-20,5.443560296216061,4.301673370694052,5.207953592273099,10.0,1.0
30,0.9999976806817927,0.9999976806817927,8.225592566378132e-07,20,4096,6.25e-06,0.9827483754353749,2.9205380565577976,4.701337005557457e-20,5.444281931265799,4.285015702798061,5.17831681934744,10.0,1.0
35,0.9999977916525826,0.9999977916525826,4.781898463813222e-07,20,4096,6.25e-06,1.014707517115414,3.0576822332621023,2.1220948127286492e-19,5.444057065931272,4.375516981972245,5.2226718403346775,10.0,1.0
39,0.9999976552473073,0.9999976552473073,4.0898208175531366e-07,20,4096,6.25e-06,1.006435006284124,3.010180177597196,3.277201151099434e-21,5.444399061906392,4.343531027137327,5.225524143395128,10.0,1.0
40,0.9999976565114812,0.9999976565114812,4.70795680845131e-07,20,4096,6.25e-06,0.9979494092607237,2.9950557488355676,1.1271333787335533e-19,5.443473452193747,4.334829452997479,5.218705861823592,10.0,1.0
45,0.9999975356732984,0.9999975356732984,6.542306900490505e-07,20,4096,6.25e-06,0.9983269249077618,2.992079957731399,1.0155119039725525e-26,5.442757563832781,4.335765194412259,5.194765345086524,10.0,1.0
49,0.9999976066008143,0.9999976066008143,2.877342504416379e-07,20,4096,6.25e-06,1.0193828818008066,3.0677381385949394,1.3758228583914155e-23,5.444319595474547,4.366892646596508,5.207581633451108,10.0,1.0
50,0.999997654529859,0.999997654529859,4.0955699989246667e-07,20,4096,6.25e-06,0.9978209451313659,2.9820034284901213,3.497213727943526e-22,5.444236234949707,4.345888322123996,5.208364580018814,10.0,1.0
55,0.9999973854210777,0.9999973854210777,1.0982665119569392e-06,20,4096,6.25e-06,0.9969353010499596,2.988289971568255,1.1819384008499388e-24,5.444421186100797,4.36611499880253,5.193328391590763,10.0,1.0
59,0.9999974851248523,0.9999974851248523,7.855234493952897e-07,20,4096,6.25e-06,0.99521664728851,2.9723724045239086,1.407238689706477e-19,5.443270487598461,4.307191662781507,5.210741152345347,10.0,1.0
60,0.9999976023716743,0.9999976023716743,1.7108301117794464e-07,20,4096,6.25e-06,1.0094067880242428,3.0414218484255904,1.076106987572744e-20,5.444310496670854,4.373546814052127,5.214756005442779,10.0,1.0
65,0.9999975985465899,0.9999975985465899,3.8631918268263257e-07,20,4096,6.25e-06,0.989068999766772,2.9692300933418148,7.908500401869911e-19,5.444229267856905,4.309585900667915,5.2182182167657425,10.0,1.0
69,0.9999977992475281,0.9999977992475281,3.7520596715634906e-07,20,4096,6.25e-06,0.9963070858717712,3.015600000839263,3.4495851135673683e-20,5.4425668692647555,4.394437357517889,5.237492879485389,10.0,1.0
70,0.9999976706265028,0.9999976706265028,4.84429110782792e-07,20,4096,6.25e-06,0.9943833957026469,2.9738405271502084,5.893823420819545e-28,5.444370715705345,4.327829070235376,5.210216403832716,10.0,1.0
75,0.9999977958016739,0.9999977958016739,3.429629062908164e-07,20,4096,6.25e-06,0.9993702453974831,2.9993553132452297,1.5683158797496566e-20,5.443216206176387,4.330451741499247,5.203840670764256,10.0,1.0
79,0.9999977792962425,0.9999977792962425,6.349169385074048e-07,20,4096,6.25e-06,1.0052852941830537,3.0056524773982307,3.203916430544212e-21,5.444271380791331,4.319116201360623,5.206264594269635,10.0,1.0
80,0.9999978980665851,0.9999978980665851,3.817854478665544e-07,20,4096,6.25e-06,1.011658692164085,3.039854084930923,3.6098459650584094e-21,5.444428160675855,4.349145401862763,5.190919902357915,10.0,1.0
85,0.999997161121967,0.999997161121967,1.0222709190348954e-06,20,4096,6.25e-06,0.9909456629049302,2.9497619829575226,6.237489026233355e-26,5.4436155091911695,4.320403845462287,5.201083829198568,10.0,1.0
89,0.9999972494989308,0.9999972494989308,1.0208187111315762e-06,20,4096,6.25e-06,0.9944888692640792,2.960028755022868,7.765485432920211e-21,5.443507207274023,4.322938119949674,5.189484077694759,10.0,1.0
90,0.999997525509446,0.999997525509446,5.216082727178081e-07,20,4096,6.25e-06,1.0094571560784782,3.031038712925918,3.046323630706337e-20,5.4439448264111086,4.349173190740632,5.225767198385514,10.0,1.0
95,0.999997937616462,0.999997937616462,3.103512378021927e-07,20,4096,6.25e-06,0.9952300194418422,2.9914845278113606,3.566037430007418e-22,5.444340904368076,4.343060975334785,5.221319607763183,10.0,1.0
99,0.999997507777612,0.999997507777612,7.275190979769223e-07,20,4096,6.25e-06,1.0024081908596425,3.014518892400301,3.054829074914135e-25,5.443791295784324,4.347204799718113,5.205892148534057,10.0,1.0
100,0.9999977833750291,0.9999977833750291,2.875554274082002e-07,20,4096,6.25e-06,1.004100553942854,3.018744772605311,6.017019299191306e-21,5.444313915461193,4.328937642821909,5.187369812803017,10.0,1.0
