iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.5540095128745278e-05,0.01394559138971081,2.3010434626924515e-15,0.8661378715554572,1.9224728634848658,0.9482932489926142,7.022658278111108,0.9482932489926142,7.0226582781111055,0.3403425843570995,10.0,2.4406367835646714,6.523145479372242,5.956719769295036,42.55149115600445,100.0,0.0,0.0,0.0,0.0,-0.00042238172030385947,0.003919399036982383,0.002422349156211566,0.004223207051566007,0.024332125839173907,4.581684511163068,1.8090315494666852e-06,0.00010413209624290693,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.3898009101233344e-05,0.013945396339233581,5.852639737037743e-15,0.8993126073629647,2.2821357811439054,0.9869118846507461,8.078876795726444,0.9869118846507461,8.078876795726444,0.34027787259959463,10.0,2.507798124978207,8.009960349738078,6.289059652196805,64.16044791979051,100.0,0.0,0.0,0.0,0.0,-0.0003491408615009084,0.0037116182131334235,0.002194261999960618,0.004524777574844867,0.022226342448953322,4.58168353117094,3.1088719573193816e-06,0.00018772155496740215,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.597443717934859e-05,0.013945256147403915,3.744383758519839e-15,0.8759086864469388,2.033558313316066,0.9987059105249169,22.94736744921245,0.9987059105249168,22.947367449212415,0.34040783879654607,10.0,2.3259493422738755,6.489688844269217,5.410052016628749,42.11632862266832,100.0,0.0,0.0,0.0,0.0,-0.0006434488290157117,0.0039446686532314595,0.0022416387135641104,0.004178080017118258,0.02024562487489475,4.581681879296571,1.2648167185197977e-06,0.00011384368808459878,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.529567313517722e-05,0.013945125144201792,2.5851879728081165e-15,0.8669983670259919,1.972539493855096,0.9607116117557167,11.300750307195635,0.9607116117557167,11.300750307195635,0.34031378434355364,10.0,2.319933259826984,6.396163953199064,5.382099245188125,40.91161424444334,100.0,0.0,0.0,0.0,0.0,-0.0004979158036461659,0.003879143331672163,0.002301459553423623,0.004098033530041192,0.021740154460692995,4.581680762035966,9.043929579948635e-07,0.00011295395555562256,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.6258586382170446e-05,0.013944947206671558,4.904154275649789e-15,0.8907776853458063,2.085456700075855,0.983192841736714,7.943673276601645,0.983192841736714,7.943673276601645,0.34036493320773864,10.0,2.3825872282497493,6.437164541817371,5.6767225662778396,41.43855555539062,100.0,0.0,0.0,0.0,0.0,-0.0004967711690874199,0.00400147532639325,0.0022717518519396094,0.004534448480786249,0.025397325015335894,4.581678415255974,2.2789513878812802e-06,0.000151022141215435,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.6198891711881224e-05,0.013944793907704558,3.913590082999101e-15,0.9090782548647415,2.2930799051581032,0.9993753602491268,17.34379291332205,0.9993753602491268,17.34379291332205,0.3404057724316152,10.0,2.5279313886912176,7.917326238305417,6.390443381678939,62.68519277004627,100.0,0.0,0.0,0.0,0.0,-0.0006117194276146063,0.003978026024771593,0.002024532802740241,0.004438250030324842,0.02549191902869789,4.581676574716806,1.1407587312353327e-06,0.0001360221754347701,0.24422341210775445,0.0,0.0,0.9999785732265352,0.005580960196540419,0.23693878391454357,0.8607825087387133,0.3787232191783733,7.2233146369253175e-06,8.975577074955907e-06,0.5540858741819163
6,1.5898744280503818e-05,0.013944657672008701,3.0787722221487002e-15,0.8740145733685428,1.929117511435142,1.0932635130531643,35.66652822453665,1.0932635130531643,35.66652822453665,0.3403672762037964,10.0,2.450815287424167,6.006804418759512,6.006499917338802,36.082177658521175,100.0,0.0,0.0,0.0,0.0,-0.00048454641149033083,0.003957771981256078,0.0022884447504656065,0.004984033749786904,0.021479602492439007,4.581674793100566,1.3204985442519232e-06,0.00011894738997681152,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.4279659755783874e-05,0.01394449773045656,2.1731708981676087e-15,0.8777602117906987,2.1001942665548423,0.9357213472051433,4.601942885615523,0.9357213472051433,4.601942885615523,0.34030039348601926,10.0,2.553822574164508,6.714251469272499,6.522010134257612,45.08182701078892,100.0,0.0,0.0,0.0,0.0,-0.0004859016360131679,0.0037474737298483626,0.002348946955050175,0.004549152797322129,0.008307176620389182,4.58167162206413,1.7538150627385128e-06,0.00014275049320848794,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.569808104828022e-05,0.013944348739425086,3.2482518950630776e-15,0.8931265309263093,2.229475092884994,1.152423982606225,92.39627696172045,1.152423982606225,92.39627696172045,0.3403037345005015,10.0,2.5711990166136474,7.742878878487825,6.611070990382693,59.9521946559111,100.0,0.0,0.0,0.0,0.0,-0.0005216084722565485,0.003927595403036114,0.002222423706915618,0.00444256349676743,0.01933682824302637,4.5816707006897825,1.5385158416160144e-06,0.00013179028363901265,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.525979832468797e-05,0.013944218885727772,2.4941427089466362e-15,0.8612544421458098,1.883884184087434,0.9251679514366739,5.994280583622093,0.9251679514366736,5.994280583622088,0.3402982039844949,10.0,2.3136313597103153,6.201343784584874,5.352895062952776,38.45727224593709,100.0,0.0,0.0,0.0,0.0,-0.0005888672033317877,0.0038617397299051844,0.0020873685534503,0.004285801051980766,0.021739473354395092,4.581669003829613,1.4030196925487745e-06,0.00010098763998754648,0.2225681528272416,0.06760297716213441,1.0,0.9999774305447297,0.006785650530262366,0.2655597689123284,0.8607825087387114,0.3786777226023211,7.779552053467272e-06,7.480246271220698e-06,0.49019299679202366
10,1.6358348578119055e-05,0.013944068423394124,1.8915165678612196e-15,0.8726531479125257,1.9865160441043381,0.917815106921884,4.395729414097059,0.917815106921884,4.395729414097056,0.3402994855273405,10.0,2.3318754787279987,6.609771142193316,5.437644264402253,43.68924177661777,100.0,0.0,0.0,0.0,0.0,-0.0005118072069739347,0.00401203214855123,0.0023810474073555246,0.0039035586266644626,0.021822797905570117,4.5816667616631905,1.3873128434872006e-06,0.00013228782370353152,0.19691778162921714,0.06468584672132287,1.0,0.9999779994717716,0.006895605659866466,0.25455361900782514,0.8607825087387101,0.37802198216248484,7.907428206835115e-06,8.45092037128394e-06,0.5166120730907948
11,1.3580616287175605e-05,0.013943944353631402,1.4278407397095142e-15,0.9081967154476578,2.401524806868634,1.132659988879753,58.91006317212704,1.132659988879753,58.91006317212704,0.34035495373496305,10.0,2.4730848576924944,9.577588255034804,6.116171091887525,91.7319991232057,100.0,0.0,0.0,0.0,0.0,-0.0003423370621369227,0.003669253551209437,0.0022816686137538617,0.00397528287198128,0.02085237755799588,4.581665409754313,1.310851387535407e-06,0.0001099445810719074,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
12,1.603640367363313e-05,0.013943794247629017,1.867235012009952e-15,0.8744432788159979,1.9922397189846235,0.993101658902637,13.15810133611669,0.993101658902637,13.15810133611669,0.340352524974433,10.0,2.371997273863731,6.088139148250814,5.626383687450044,37.065465492147354,100.0,0.0,0.0,0.0,0.0,-0.0005320523780298422,0.003969045721664833,0.0023239283842816922,0.004415661740405601,0.023585351132194093,4.581664505851951,1.2178815409131637e-06,0.00013449090917690848,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
13,1.62843007352553e-05,0.01394365156242546,1.2206956862037947e-15,0.8887166872901067,2.0931127376944185,0.9878968422286737,8.761305502513359,0.9878968422286737,8.761305502513363,0.34040537321728664,10.0,2.5710240238236057,6.731567005129942,6.61016522412005,45.31422861423729,100.0,0.0,0.0,0.0,0.0,-0.0005012424436005902,0.004004129961425904,0.0023119652012448385,0.00446160391094262,0.01945389044240533,4.581662323488848,8.822288910068213e-07,0.00012205982277118466,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
14,1.3858341717360309e-05,0.013943520300838962,2.3539439304742906e-15,0.8626125414473964,2.0168188421076167,0.9282786617826372,5.072976871141339,0.9282786617826372,5.072976871141339,0.34033244687936537,10.0,2.4088876594174153,6.949557923047824,5.802740222418782,48.296360203372615,100.0,0.0,0.0,0.0,0.0,-0.00040975805780512226,0.0037000594659307956,0.0022414539173412707,0.004179452228175071,0.02334000806142863,4.581660279057891,1.7341564803745882e-06,0.00011461543621573992,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
15,1.4321565834971677e-05,0.013943398706397703,2.7481154669855623e-15,0.8719630212804605,1.8862621431493078,0.9053585985372091,3.0289527319396155,0.9053585985372091,3.0289527319396155,0.34056664779015805,10.0,2.457745598694117,6.177682967716086,6.040515153699873,38.16390929249167,100.0,0.0,0.0,0.0,0.0,-0.00047668847358855044,0.0037542421251325142,0.002200909833121777,0.004289660467364337,0.026203929778137767,4.581659086654544,1.533164480435123e-06,0.00011113511106567357,0.2558999686352459,0.08874448819948819,1.0,0.9999766913613142,0.008873244883434772,0.3263521431685921,0.8607825087387136,0.37810742089082805,7.339389181713891e-06,6.982176653257786e-06,0.4875288591843836
16,1.4540110897592294e-05,0.013943261741669488,1.817501856297769e-15,0.8773466811136339,2.0765811352702808,0.9853734121947187,12.068079813893906,0.9853734121947187,12.068079813893895,0.3403591656314352,10.0,2.3413592747321794,7.024176365931046,5.481963481483787,49.33920727552369,100.0,0.0,0.0,0.0,0.0,-0.0004956328220451122,0.003780801370517088,0.00238237935857861,0.0041737998187289915,0.023301370232191417,4.581657621561087,1.2584990153372803e-06,0.00011511855400913286,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
17,1.5621170820659404e-05,0.013943119984781427,4.20734143312581e-15,0.902625443278028,2.1644425119950013,0.9843885827142504,8.123127069994352,0.9843885827142504,8.123127069994347,0.3402806687520413,10.0,2.572274191542409,7.164398925819176,6.616594932039016,51.328684080843,100.0,0.0,0.0,0.0,0.0,-0.00044689578308704415,0.003927016040165665,0.002220055401096841,0.003968638873924053,0.02167289448060225,4.58165552929843,1.811657303766048e-06,0.0001208926406467945,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
18,1.4245712179426479e-05,0.013942998555316218,2.088237456775462e-15,0.8871959640883094,2.190982815245671,0.9653311982854418,5.833214241202109,0.9653311982854418,5.833214241202109,0.3403617500348506,10.0,2.3946101110080114,8.267930245897587,5.734157660485321,68.35917701871615,100.0,0.0,0.0,0.0,0.0,-0.0004415646781319025,0.003748430713572381,0.002220998437550338,0.004497136223658994,0.02269761769300978,4.58165486445496,1.2553453507006377e-06,0.00010725644991357392,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
19,1.5533251439116105e-05,0.01394289127766496,1.118409305640174e-15,0.8500060448708697,1.7617098694316342,0.936035635564003,10.948099168354377,0.936035635564003,10.948099168354377,0.3402969593624931,10.0,2.3365812259718743,5.350349023004545,5.459616243699288,28.626238808911605,100.0,0.0,0.0,0.0,0.0,-0.000515705252991873,0.003907339188137203,0.0023515888078122367,0.004816845785042802,0.02613709083920989,4.581653067440412,8.313795963566013e-07,9.069809139022586e-05,0.21210498651427692,0.08279245631404888,1.0,0.9999779621127074,0.008813898482615157,0.31660872354746855,0.8607825087387093,0.3785223492433826,8.289762919218812e-06,7.243488519897293e-06,0.46632146194818
