iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.005580960196540419,2.371488253616275,0.23693878391454357,4096,0.8607825087387133,0.3787232191783733,64,0.8784036800278681,1.996294111028609,0.34029912679285257,10.0,2.438144063911061,6.566661400042332,10.0,1.0
9,0.006785650530262366,2.3542849536985133,0.2655597689123284,4096,0.8607825087387114,0.3786777226023211,64,0.8636126795472672,2.0019760793583377,0.3402830619389746,10.0,2.2435219738794863,7.196861627557288,10.0,1.0
10,0.006895605659866466,2.3613701325243173,0.25455361900782514,4096,0.8607825087387101,0.37802198216248484,64,0.8393158489227998,1.725787700798603,0.34032976501176837,10.0,2.1640224010646802,5.302473389489554,10.0,1.0
15,0.008873244883434772,2.3758393458581226,0.3263521431685921,4096,0.8607825087387136,0.37810742089082805,64,0.8856944887392852,2.0829319609852788,0.34045669783103183,10.0,2.55281516291773,6.777717180831962,10.0,1.0
19,0.008813898482615157,2.370350982061555,0.31660872354746855,4096,0.8607825087387093,0.3785223492433826,64,0.8771888552564571,2.093473609291417,0.3402957158680509,10.0,2.3167877698709463,7.30439550081473,10.0,1.0
20,0.010101033300095041,2.3601964420912878,0.3395312644881606,4096,0.8607825087387109,0.37858150758268355,64,0.8872219036031794,1.989582773216077,0.340286311685177,10.0,2.5226524539009563,6.483035146640046,10.0,1.0
25,0.006514622814585258,2.37020529429242,0.25102626875916884,4096,0.8607825087387124,0.37822267467464904,64,0.8806719173790615,2.024690094517683,0.3402876037999897,10.0,2.396798500661816,7.159919367023395,10.0,1.0
29,0.010610973946048263,2.3568579218359798,0.30782710044785105,4096,0.8607825087387109,0.37791341046835103,64,0.8578349454682372,1.7958951899480153,0.34029425717842166,10.0,2.3435798884033696,5.996221019094917,10.0,1.0
30,0.005964084990779384,2.3544110530890365,0.21296824189134628,4096,0.8607825087387099,0.37842930880983416,64,0.855870464663232,1.8649998071512655,0.3403013484412979,10.0,2.283098395012465,6.392249590180828,10.0,1.0
35,0.005302634168217746,2.354536599002975,0.20264345982731347,4096,0.8607825087387102,0.37843527477762434,64,0.8910507562195147,2.0712673800494876,0.34037618912983647,10.0,2.527663237939434,6.728237879264476,10.0,1.0
39,0.005918993488762347,2.361045427869325,0.22130258374251166,4096,0.8607825087387115,0.37859506190367165,64,0.870997871853796,2.011432991710506,0.34031316529009153,10.0,2.431072569707751,6.37682300922282,10.0,1.0
40,0.009199655370474513,2.357458839649553,0.32460831710431204,4096,0.8607825087387131,0.3779475607645007,64,0.8985206076532357,2.1583545312460215,0.34034555655504195,10.0,2.4700509239164186,7.3722949661974875,10.0,1.0
45,0.012207461111815698,2.3565778376598963,0.3668762972932785,4096,0.8607825087387135,0.3785310264551054,64,0.890730479866767,2.1552734091719894,0.3403688386251446,10.0,2.427763345144066,7.012915331328984,10.0,1.0
49,0.011967791337951228,2.3629667125648965,0.3926779203813988,4096,0.860782508738712,0.37783329854718417,64,0.8855304958040183,2.083807714901833,0.3403770573278367,10.0,2.36127610089636,6.756298355047244,10.0,1.0
50,0.0057492010334170285,2.3586954614192037,0.22530253446451243,4096,0.8607825087387141,0.37829703873131876,64,0.8564408850113987,1.8911419094357065,0.3403205465429721,10.0,2.268973879357984,6.417208435650698,10.0,1.0
55,0.0038533232108376447,2.344073369368434,0.16331622264934903,4096,0.8607825087387097,0.3782939315125762,64,0.8774575825374566,2.0678002895727445,0.34032284758499926,10.0,2.3567882077084836,6.532239110456398,10.0,1.0
59,0.003549449946574912,2.359828062011285,0.14827974465652394,4096,0.8607825087387129,0.3784075488055031,64,0.8726388814991662,2.078346218826618,0.34036635044548164,10.0,2.4411188927528302,7.5289865967647565,10.0,1.0
60,0.008371635653103504,2.3528709203809033,0.3013170682622189,4096,0.8607825087387155,0.3779987478838284,64,0.8853538545730772,2.1025535383822227,0.3403088366149304,10.0,2.3674843270668737,7.354761009459693,10.0,1.0
65,0.004486348625018621,2.3619293955153977,0.1816279325076005,4096,0.8607825087387083,0.3785140872652651,64,0.8840717712155854,2.177973691829532,0.340286341018655,10.0,2.4307406596290106,7.8700252591904585,10.0,1.0
69,0.009680263564902258,2.362224563400952,0.3306532611987623,4096,0.8607825087387115,0.3787210990015339,64,0.8650570753966513,1.8550975240787713,0.34030313259020095,10.0,2.3840308070285143,5.7974032397508175,10.0,1.0
70,0.007301161093241637,2.3637743133831974,0.26700031581905137,4096,0.86078250873871,0.37872870798976754,64,0.8748783438773735,1.9912076861726804,0.3403450239801746,10.0,2.4706774493480093,6.56271975924533,10.0,1.0
75,0.009018704669178867,2.371096154289555,0.30683356798821265,4096,0.8607825087387111,0.37832577858497557,64,0.8981550462984103,2.254549816756926,0.340286619990898,10.0,2.4619072398857567,8.320509823953525,10.0,1.0
79,0.008400220404799486,2.3442056483317395,0.3036630477889447,4096,0.8607825087387093,0.37853103384705356,64,0.8821157018193992,2.066145346092729,0.34032435598497557,10.0,2.412860243959389,6.62732189633876,10.0,1.0
80,0.015208248276151748,2.34361485784521,0.42268030536711887,4096,0.8607825087387135,0.37838372782809315,64,0.87521510752332,2.007403096840412,0.34030685409509787,10.0,2.3528690103621686,6.870919137808933,10.0,1.0
85,0.01182916188615224,2.355583897673161,0.3629300554870136,4096,0.8607825087387113,0.37856958645475863,64,0.8629915168131694,1.8930260873766689,0.34027785988670717,10.0,2.2929671754583634,6.362145287065792,10.0,1.0
89,0.008550421934502395,2.340912864658815,0.2970914523295784,4096,0.8607825087387095,0.378060735145457,64,0.8546192821232045,1.850068032752096,0.34034052593287,10.0,2.2704639148674275,6.152371897647235,10.0,1.0
90,0.012550387986476341,2.354590926378235,0.3803176199489,4096,0.8607825087387092,0.37838820580646426,64,0.9080468929621389,2.348808336726503,0.3403004324405476,10.0,2.573057248726157,8.964020454128407,10.0,1.0
95,0.008501583508780275,2.3409326007782947,0.3042941847189215,4096,0.8607825087387091,0.37821481535748847,64,0.8771335423319968,2.056118038121115,0.3402980251476394,10.0,2.454988772907254,6.8743213060597785,10.0,1.0
99,0.010479589345329998,2.3442701348657367,0.33041978651022635,4096,0.8607825087387106,0.3778052101910803,64,0.8985201220755397,2.174422517767306,0.34031639028345584,10.0,2.530793080417919,7.577714298139294,10.0,1.0
100,0.0066289186824717294,2.367398735177545,0.2634052239614361,4096,0.8607825087387104,0.3783858052581708,64,0.891254426630302,2.194785311800572,0.34028481888131873,10.0,2.440409537714829,7.6238025928357676,10.0,1.0
105,0.005336297877387319,2.3611949155425855,0.2213636102488919,4096,0.86078250873871,0.3785582113854944,64,0.8580428239011577,1.9406620552747187,0.34028385000154526,10.0,2.3447191225202197,6.604678421602963,10.0,1.0
109,0.008981422459084065,2.3549335206064517,0.32048983242191975,4096,0.8607825087387097,0.3784210289578994,64,0.9007692930307529,2.130894055500775,0.34036088856916313,10.0,2.672700023460076,6.75222765232413,10.0,1.0
110,0.010342761463708827,2.347398907210324,0.3276565793159561,4096,0.8607825087387102,0.37861863711864907,64,0.863379721968448,1.9213804121980669,0.34037154721287294,10.0,2.277299296602054,6.834980617503179,10.0,1.0
115,0.003544337865099334,2.3710148370879462,0.14304932485962668,4096,0.8607825087387104,0.37877531469124087,64,0.8836952829759678,2.063661188990241,0.34030050692205954,10.0,2.4351622758356433,7.247639310006014,10.0,1.0
119,0.006245009508156429,2.369056520934412,0.23680616316983608,4096,0.8607825087387087,0.37914764840280196,64,0.9032062251433652,2.3421688218005396,0.34040523520059696,10.0,2.5479336540816666,8.341890630744514,10.0,1.0
120,0.011199704747153483,2.3589802775599673,0.32554359960980533,4096,0.8607825087387091,0.3781794830391463,64,0.8575050753636946,1.9624421337188211,0.34028438432661146,10.0,2.238316601987335,7.04845482791295,10.0,1.0
125,0.005284203080827332,2.3628773521934945,0.18612006323119584,4096,0.8607825087387113,0.3780391750868305,64,0.8633787193167983,1.8820985783906705,0.34027881737139637,10.0,2.370538194114616,5.92462604845204,10.0,1.0
129,0.011285071529912538,2.354919351106982,0.3414234110983727,4096,0.86078250873871,0.3783258195854381,64,0.8941144507169535,2.177518877234893,0.3402918798098103,10.0,2.500595653345276,7.556317815515343,10.0,1.0
130,0.012607446111885467,2.36213796338568,0.3817106092665729,4096,0.8607825087387114,0.37798581553487665,64,0.8830076781773475,2.1468625123608076,0.34039885076111887,10.0,2.488002602373926,7.27814008743508,10.0,1.0
135,0.013006339036549686,2.372692735133755,0.3959726184000715,4096,0.8607825087387108,0.37849686987210396,64,0.8642631405891668,1.9845186849435992,0.3403355061405676,10.0,2.2979395414809,6.661942368066395,10.0,1.0
139,0.00607255255385708,2.336611944612024,0.24550951563364262,4096,0.86078250873871,0.3781651529555291,64,0.8730250921701974,2.03477255220318,0.34030115866506727,10.0,2.387602011200638,6.826256907427528,10.0,1.0
140,0.005911667180661606,2.3656363069149684,0.23740177505174673,4096,0.8607825087387106,0.37855268117610485,64,0.8956163569957392,2.22606033648937,0.3403025561382135,10.0,2.4730048628221413,8.230222721658038,10.0,1.0
145,0.005209909100720833,2.362147697151374,0.19296295856309462,4096,0.8607825087387115,0.3783962089543628,64,0.8570996136111299,1.8435499951062506,0.34031140241304886,10.0,2.3643181483663227,6.0918481822390005,10.0,1.0
149,0.006240819957407551,2.3514980051022536,0.25677187574431093,4096,0.8607825087387103,0.37795739424028163,64,0.9000943070579778,2.208321348754742,0.3402989302158251,10.0,2.5430140830237247,7.48674371539465,10.0,1.0
150,0.003924479459374242,2.346049785918085,0.15498096859910682,4096,0.860782508738712,0.37854089202156915,64,0.8804354663556518,1.9678729894175375,0.3403228470244646,10.0,2.343867345765699,6.826580338824653,10.0,1.0
155,0.007778590113629025,2.3535474960863447,0.2942026984325562,4096,0.8607825087387098,0.37850946618435033,64,0.887455513121955,2.1398536302621785,0.3402945165453072,10.0,2.5034338023224025,7.206936556577944,10.0,1.0
159,0.010772539575226059,2.367359202961693,0.3338231666571372,4096,0.8607825087387125,0.37844867817662675,64,0.8495881201735154,1.763592765467252,0.3403706159002341,10.0,2.287549059109005,5.567821365018112,10.0,1.0
160,0.006755066710389279,2.3604330393746156,0.2697513454630409,4096,0.86078250873871,0.37837891279526653,64,0.8539809528514213,1.8078146279748708,0.3402917825966264,10.0,2.3376870744629974,5.738640458512539,10.0,1.0
165,0.004142354194348052,2.3589158903573204,0.1754448979458315,4096,0.8607825087387098,0.3786864378096289,64,0.8992328750935796,2.36892827633402,0.3403291638150011,10.0,2.3994440977042233,9.18611370791505,10.0,1.0
169,0.00572629346563025,2.3403405841356926,0.2352869741789483,4096,0.8607825087387179,0.37857500748197487,64,0.8864258125053,2.012618690555665,0.3403186041048998,10.0,2.5247019949743894,6.206764826433006,10.0,1.0
170,0.005389892033761945,2.3605911117511886,0.21307211245209381,4096,0.8607825087387162,0.3782076490930486,64,0.8836160729773235,1.9998956544081308,0.3405224426269545,10.0,2.5025625893551493,6.640805649340693,10.0,1.0
175,0.00571059180351019,2.34169589033289,0.23949027797298172,4096,0.860782508738714,0.378423269286811,64,0.9056809622772142,2.257996501369167,0.3402954027420385,10.0,2.525806288882653,7.53981194480587,10.0,1.0
179,0.012932179538250987,2.3601158667315287,0.4046391517446701,4096,0.8607825087387093,0.3782331077112234,64,0.8997811527046551,2.0972243308750196,0.34029703923592725,10.0,2.488822623374993,6.620678438117824,10.0,1.0
180,0.010605399839609064,2.3543560891106368,0.3404887174579361,4096,0.8607825087387119,0.3782666203461705,64,0.9035625051428805,2.267323555774002,0.34031445026709434,10.0,2.488348950296616,7.801235218534861,10.0,1.0
185,0.0111475908737515,2.3470394926268643,0.34869116920697313,4096,0.8607825087387151,0.37888928201062194,64,0.8848797019684181,2.097302405540928,0.34033489749281753,10.0,2.5646031659668935,6.6976477484151715,10.0,1.0
189,0.008554314223839232,2.35642015367739,0.290400359388822,4096,0.8607825087387099,0.3784993356424541,64,0.8670355834662798,1.87755033901116,0.34029726797544246,10.0,2.4286331900744424,6.157173400415641,10.0,1.0
190,0.00628527809139845,2.364197564361606,0.1896616633847437,4096,0.8607825087387116,0.3788399507207801,64,0.8813797397536746,2.099137116225446,0.34029995392292095,10.0,2.336521615944384,7.253004429674527,10.0,1.0
195,0.007235782035666549,2.363853375279508,0.23855748841551394,4096,0.8607825087387133,0.3781953424162736,64,0.8925437179081763,2.153702998248636,0.34029465543078447,10.0,2.464726372349275,7.490441157830487,10.0,1.0
199,0.012113692083075112,2.3531833682378633,0.37836808596675947,4096,0.8607825087387108,0.3787467218120809,64,0.8770575939228453,2.001657620067158,0.3403017842551526,10.0,2.525724235410131,6.856843764034051,10.0,1.0
