iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.734058675492508e-05,0.013945541615592739,7.224229356077632e-16,1.0167883087800882,3.1161512090041588,1.0167883087800882,3.1161512090041597,1.0167883087800882,3.1161512090041588,7.088844913147904e-16,5.437464121047119,4.5371340632308375,5.2486150668899025,20.58558604740517,27.547960551486565,29.56601606767472,0.0,0.0,0.0,0.0,-0.0005934541798476426,0.0041216985444530565,0.002464450246492892,0.0042003825011265135,0.024475903778543952,4.581683607991906,1.013630086793958e-06,0.0001437395268964779,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.6951797404316647e-05,0.013945417232757475,9.482034436237279e-16,0.9737596106814316,2.8102970875852087,0.9737596106814317,2.8102970875852087,0.9737596106814316,2.8102970875852087,5.717371101523207e-17,5.444434223610532,4.137656125407125,5.178518358322885,17.120201759168392,26.817055329715696,29.641864015221618,0.0,0.0,0.0,0.0,-0.000717029733833959,0.004054339128034882,0.002288640126862095,0.004716077123479364,0.02133788125897947,4.581681725289269,1.0205044697206413e-06,0.00010200190714362203,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.6430164777094954e-05,0.013945244950526473,1.0516028028526489e-15,0.9948167872157905,2.9760776691394413,0.9948167872157905,2.9760776691394413,0.9948167872157905,2.9760776691394413,2.789700788098377e-19,5.430445968958368,4.349612995628723,5.21910239604044,18.91915169562372,27.23903040962702,29.489743421776193,0.0,0.0,0.0,0.0,-0.0007001024756989445,0.003992495623117847,0.002396219531644749,0.004048932531947715,0.023918162168171844,4.581679425399421,1.044680053370623e-06,0.00014801367982656864,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.673973179176285e-05,0.013945050214574848,9.03210030483115e-16,1.0265407176681527,3.1240503515686875,1.0265407176681527,3.1240503515686875,1.0265407176681527,3.1240503515686875,6.465854639925669e-18,5.440564906648853,4.436084790424735,5.209925675516925,19.67885254069286,27.143325561157997,29.599746503459045,0.0,0.0,0.0,0.0,-0.0006923034153761401,0.004032424552650847,0.0024261686256500047,0.0037926063406561804,0.022524906256341064,4.581676721866281,1.0877745644200115e-06,0.00017749505517564683,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.58800683953991e-05,0.013944872777055577,1.3993025754485092e-15,0.9936716316015297,3.0011457810337756,0.9936716316015297,3.0011457810337747,0.9936716316015297,3.0011457810337756,5.617737734942441e-16,5.435059330485207,4.324980249536504,5.213765638151683,18.705454159098384,27.183352315463015,29.53986992589431,0.0,0.0,0.0,0.0,-0.0006025155319842536,0.003939167859982211,0.002597127146830839,0.004440783293869968,0.02497317621408087,4.581674312136011,1.3092902712008866e-06,0.00015049295785097663,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.753601112755503e-05,0.013944694700166606,2.5766562973022403e-15,0.961962512316723,2.7543380336413694,0.961962512316723,2.754338033641369,0.961962512316723,2.7543380336413694,7.477476025755306e-19,5.430668053408371,4.118162375355444,5.110333526081158,16.959261938721905,26.115508754883116,29.492155506310265,0.0,0.0,0.0,0.0,-0.0007374913487829951,0.004122149637995359,0.002266551212371874,0.0046745846241175604,0.025264223156663372,4.581672507219951,1.3985029440152044e-06,0.00015657964799614137,0.2809381443682053,0.0,0.0,0.9999754590035543,0.005639030993258909,0.2439852756754834,0.8782691901621624,0.5474716767725073,7.70892252448021e-06,9.82708860307482e-06,0.5603947517821272
6,1.5077993948961954e-05,0.013944509584807113,1.6745690125559575e-15,0.9708438995943005,2.894823046091935,0.9708438995943005,2.8948230460919344,0.9708438995943005,2.894823046091935,2.750440306791183e-19,5.434807216062329,4.355463086543627,5.217135971634311,18.970059166852053,27.21850798705007,29.537129475763162,0.0,0.0,0.0,0.0,-0.0007094372193321743,0.0038176815976176154,0.0021001236746534977,0.004306438203913276,0.025738037543029394,4.5816701895358385,1.0746064294782335e-06,0.0001579488838987935,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.5925653373579786e-05,0.01394434471760811,1.249451140085595e-15,1.0079407777061844,3.031739656841673,1.0079407777061844,3.031739656841673,1.0079407777061844,3.031739656841673,3.0413099151124988e-15,5.442007354979734,4.407853662524314,5.165715410524224,19.429175884345444,26.684615992679987,29.61544405165352,0.0,0.0,0.0,0.0,-0.0007455904629171578,0.0039204270475532085,0.0023497490430404396,0.004229866844188121,0.008020563379998017,4.5816671564256595,1.2699718865143148e-06,0.0001411561516252313,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.729594876850356e-05,0.013944182923859027,1.4276372093295003e-15,0.9933193185253877,2.942668180099127,0.9933193185253877,2.942668180099127,0.9933193185253877,2.942668180099127,2.8232340426934852e-21,5.4416474053721595,4.33632114698559,5.197041960392846,18.803685787458967,27.00924516630879,29.611526484393554,0.0,0.0,0.0,0.0,-0.0007875969357420062,0.004083581740985891,0.0022959736989478048,0.004139984166799876,0.017416939201124686,4.581665580854089,1.1022741644772678e-06,0.00014333257850907336,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5806002962191674e-05,0.013944026615205362,2.048094574403546e-15,0.986215895766889,3.041981373599525,0.9862158957668891,3.041981373599525,0.986215895766889,3.041981373599525,1.8562016969813822e-16,5.442243212813567,4.404214630082962,5.263782551719348,19.397106615141084,27.707418932715484,29.618011187415338,0.0,0.0,0.0,0.0,-0.0008062636616662594,0.0038930633015747626,0.00208352845913193,0.0043660318364938345,0.022499575910086455,4.581663695549752,1.3464661335727806e-06,0.00011687548742659337,0.2231892466812631,0.09959611940907978,1.0,0.9999731417328154,0.009230224943790444,0.3248853381755186,0.8782691901621626,0.5143517013749952,7.73307321239095e-06,8.072929749800724e-06,0.5107508690914053
