iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.753601112755503e-05,7.70892252448021e-06,9.82708860307482e-06,0.5603947517821272,8,200,200
9,1.5806002962191674e-05,7.73307321239095e-06,8.072929749800724e-06,0.5107508690914053,8,200,200
10,1.8220012436652407e-05,9.7735837609454e-06,8.446428675707007e-06,0.4635797426085009,8,200,200
15,1.4803591029920946e-05,8.504896510221449e-06,6.298694519699497e-06,0.42548422926360274,8,200,200
19,1.5954845463141964e-05,8.516140654188005e-06,7.438704808953959e-06,0.4662348391990671,8,200,200
20,1.5992241975562057e-05,8.182814337158995e-06,7.809427638403061e-06,0.48832600521782654,8,200,200
25,1.546320087000607e-05,7.868259525583207e-06,7.594941344422864e-06,0.49116230257053384,8,200,200
29,1.4209536118971607e-05,6.2360320440577955e-06,7.973504074913811e-06,0.5611375352548019,8,200,200
30,1.710339790268045e-05,7.838265948090842e-06,9.265131954589606e-06,0.5417129395754496,8,200,200
35,1.554235126692978e-05,8.026720570748825e-06,7.515630696180955e-06,0.4835581545613584,8,200,200
39,1.6830752107999395e-05,7.613755723001243e-06,9.216996384998151e-06,0.5476283130934746,8,200,200
40,1.7909127202096784e-05,8.051942815355455e-06,9.85718438674133e-06,0.5504000432576781,8,200,200
45,1.53059554695993e-05,7.344863187640365e-06,7.961092281958935e-06,0.5201303700230451,8,200,200
49,1.5765618920092185e-05,8.145078125464022e-06,7.620540794628163e-06,0.48336451827567095,8,200,200
50,1.6136521236689243e-05,7.68134268411671e-06,8.455178552572534e-06,0.5239777786396851,8,200,200
55,1.7617323977476117e-05,9.20583410761476e-06,8.411489869861357e-06,0.4774555931772334,8,200,200
59,1.5789758149465825e-05,8.435937060600062e-06,7.3538210888657634e-06,0.4657336115762195,8,200,200
60,1.739832891331797e-05,8.707806461458159e-06,8.690522451859812e-06,0.49950328535331007,8,200,200
65,1.6378144108026342e-05,7.554327814780254e-06,8.823816293246088e-06,0.5387555656517793,8,200,200
69,1.737545090858423e-05,9.36302923122734e-06,8.01242167735689e-06,0.46113460419023744,8,200,200
70,1.4443423280094233e-05,7.510797542333871e-06,6.932625737760363e-06,0.47998494562676364,8,200,200
75,1.4264721006446817e-05,7.775383314141122e-06,6.489337692305695e-06,0.4549221600179138,8,200,200
79,1.684011173428217e-05,7.974952062352954e-06,8.865159671929217e-06,0.5264311669549088,8,200,200
80,1.537671289117116e-05,7.542958091901344e-06,7.833754799269817e-06,0.5094557500496559,8,200,200
85,1.737465093871555e-05,9.215985661280623e-06,8.158665277434928e-06,0.46957290285787295,8,200,200
89,2.0314999771383498e-05,8.70974115085516e-06,1.1605258620528338e-05,0.5712655058394812,8,200,200
